DATETIME,FUND,RATE_OF_RETURN,CURRENT_TOTAL_MV,PREVIOUS_TOTAL_MV,CURRENT_TOTAL_PL,PREVIOUS_TOTAL_PL
2022-09-30,Virtous,437.7165942457491,271411285.6608622,286572564.5139164,315141.41505467054,-33917.236936336856
2022-10-31,Magnum,112.35336073029029,7589608699.88346,7209452827.730142,8268084.856942554,3457163.670810805
2022-11-30,Magnum,37.615485353445756,7906132168.975045,7589608699.88346,-5515444.254215881,8268084.856942554
2022-12-31,Applebead,3671.7685466013327,12902420208.673552,13172765004.41185,3207841.632643147,-72754.30101740017
2023-01-31,Catalysm,280.154368622745,357624386.0645655,337397346.5412349,-542086.131655732,70264.66689934983
2023-02-28,Wallington,17.936714326120946,6044648903.051903,6116062497.212352,7975569.4358083345,-3536769.5315444106
2023-03-31,Whitestone,26.38061798842943,11407303709.939701,11144199522.631413,14022366.024986278,10504930.303559335
2023-04-30,Magnum,53.820360326210704,7890510944.940851,7962507205.014352,4408084.966156653,-1255810.52779441
2023-05-31,Trustmind,74.27877956111615,8144429198.543129,8353171825.377121,8412075.840328697,-2697009.1885911035
2023-06-30,Wallington,271.35829937989115,6435161689.77589,6143933215.06728,-6695502.279794428,1048550.8387951712
2023-07-31,Trustmind,120.73056211844907,8685687512.034468,8600745966.80089,-10624650.653252125,615559.9152053405
2023-08-31,Magnum,77.39081646546818,8413152880.862352,8581665116.987661,17053993.19349109,-1957057.0495195463
