DATETIME,FUND,INSTRUMENT_TYPE,SECURITY_NAME,IDENTIFIER,IDENTIFIER_TYPE,PRICE_FUND,PRICE_REF,DIFF_PRICE_REF
2022-10-31,Gohen,Government Bond,FRANCE (GOVT OF) 0.1% 03/01/2029 0.0% REGS,FR0013410552,ISIN,120.18,132.198,-12.018
2022-10-31,Gohen,Government Bond,CANADIAN GOVERNMENT RRB 0.5% 12/01/2050,CA135087G997,ISIN,131.53,144.683,-13.152999999999992
2022-10-31,Gohen,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,GB00BNNGP882,ISIN,213.42,234.762,-21.342000000000013
2022-10-31,Gohen,Government Bond,AUSTRALIAN GOVERNMENT 2% 08/21/2035 REGS,AU000XCLWAF4,ISIN,155.75,171.325,-15.574999999999989
2022-10-31,Gohen,Government Bond,UNITED KINGDOM I/L GILT 1.25% 11/22/2027 REGS,GB00B128DH60,ISIN,207.04,227.744,-20.704000000000008
2022-10-31,Gohen,Government Bond,FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,FR0000188799,ISIN,209.19,230.109,-20.91900000000001
2022-10-31,Gohen,Government Bond,DEUTSCHLAND I/L BOND 0.1 % 4/15/2046 REGS,DE0001030575,ISIN,181.11,199.221,-18.11099999999999
2022-10-31,Gohen,Government Bond,TSY INFL IX N/B 0.625% 01/15/2024,US912828B253,ISIN,126.37,139.007,-12.637
2022-10-31,Gohen,Government Bond,SWEDEN I/L BOND 1% 06/01/2025 144A ,SE0005703550,ISIN,123.41,135.751,-12.341000000000008
2022-10-31,Gohen,Government Bond,UNITED KINGDOM I/L GILT 1.25% 11/22/2055 REGS,GB00B0CNHZ09,ISIN,452.36,497.596,-45.23599999999999
2022-10-31,Gohen,Government Bond,UNITED KINGDOM I/L GILT 0.125% 03/22/2029 REGS,GB00B3Y1JG82,ISIN,164.94,181.434,-16.494
2022-10-31,Gohen,Government Bond,BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,IT0004735152,ISIN,140.66,154.726,-14.066000000000003
2022-10-31,Gohen,Government Bond,TSY INFL IX N/B 1% 02/15/2049,US912810SG40,ISIN,155.75,171.325,-15.574999999999989
2022-10-31,Gohen,Government Bond,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,GB00BN65R313,ISIN,146.73,161.403,-14.673000000000002
