DATETIME,FUND,DIFF_FROM_REF
2022-08-31,Applebead,0.0
2022-08-31,Belaware,0.0
2022-08-31,Catalysm,0.0
2022-08-31,Gohen,0.0
2022-08-31,Leeder,0.0
2022-08-31,Magnum,0.0
2022-08-31,Trustmind,0.0
2022-08-31,Virtous,0.0
2022-08-31,Wallington,0.0
2022-08-31,Whitestone,0.0
2022-09-30,Applebead,0.0
2022-09-30,Belaware,0.0
2022-09-30,Catalysm,0.0
2022-09-30,Gohen,0.0
2022-09-30,Leeder,0.0
2022-09-30,Magnum,0.0
2022-09-30,Trustmind,0.0
2022-09-30,Virtous,0.0
2022-09-30,Wallington,0.0
2022-09-30,Whitestone,0.0
2022-10-31,Applebead,-4039.7879999999986
2022-10-31,Belaware,-3690.003
2022-10-31,Catalysm,-5238.905999999996
2022-10-31,Gohen,-2799.176999999997
2022-10-31,Leeder,-4815.438000000004
2022-10-31,Magnum,-4190.030999999999
2022-10-31,Trustmind,-3832.761000000002
2022-10-31,Virtous,-3124.985999999997
2022-10-31,Wallington,-4766.987999999998
2022-10-31,Whitestone,-3677.888999999997
2022-11-30,Applebead,0.0
2022-11-30,Belaware,0.0
2022-11-30,Catalysm,0.0
2022-11-30,Gohen,0.0
2022-11-30,Leeder,0.0
2022-11-30,Magnum,0.0
2022-11-30,Trustmind,0.0
2022-11-30,Virtous,0.0
2022-11-30,Wallington,0.0
2022-11-30,Whitestone,0.0
2023-01-31,Applebead,0.0
2023-01-31,Belaware,0.0
2023-01-31,Catalysm,0.0
2023-01-31,Gohen,0.0
2023-01-31,Leeder,0.0
2023-01-31,Magnum,0.0
2023-01-31,Trustmind,0.0
2023-01-31,Virtous,0.0
2023-01-31,Wallington,0.0
2023-01-31,Whitestone,0.0
2023-02-28,Applebead,0.0
2023-02-28,Belaware,0.0
2023-02-28,Catalysm,0.0
2023-02-28,Gohen,0.0
2023-02-28,Leeder,0.0
2023-02-28,Magnum,0.0
2023-02-28,Trustmind,0.0
2023-02-28,Virtous,0.0
2023-02-28,Wallington,0.0
2023-02-28,Whitestone,0.0
2023-03-31,Applebead,0.0
2023-03-31,Belaware,0.0
2023-03-31,Catalysm,0.0
2023-03-31,Gohen,0.0
2023-03-31,Leeder,0.0
2023-03-31,Magnum,0.0
2023-03-31,Trustmind,0.0
2023-03-31,Virtous,0.0
2023-03-31,Wallington,0.0
2023-03-31,Whitestone,0.0
2023-05-31,Applebead,0.0
2023-05-31,Belaware,0.0
2023-05-31,Catalysm,0.0
2023-05-31,Gohen,0.0
2023-05-31,Leeder,0.0
2023-05-31,Magnum,0.0
2023-05-31,Trustmind,0.0
2023-05-31,Virtous,0.0
2023-05-31,Wallington,0.0
2023-05-31,Whitestone,0.0
2023-06-30,Applebead,0.0
2023-06-30,Belaware,0.0
2023-06-30,Catalysm,0.0
2023-06-30,Gohen,0.0
2023-06-30,Leeder,0.0
2023-06-30,Magnum,0.0
2023-06-30,Trustmind,0.0
2023-06-30,Virtous,0.0
2023-06-30,Wallington,0.0
2023-06-30,Whitestone,0.0
2023-07-31,Applebead,0.0
2023-07-31,Belaware,0.0
2023-07-31,Catalysm,0.0
2023-07-31,Gohen,0.0
2023-07-31,Leeder,0.0
2023-07-31,Magnum,0.0
2023-07-31,Trustmind,0.0
2023-07-31,Virtous,0.0
2023-07-31,Wallington,0.0
2023-07-31,Whitestone,0.0
2023-08-31,Applebead,0.0
2023-08-31,Belaware,0.0
2023-08-31,Catalysm,0.0
2023-08-31,Gohen,0.0
2023-08-31,Leeder,0.0
2023-08-31,Magnum,0.0
2023-08-31,Trustmind,0.0
2023-08-31,Virtous,0.0
2023-08-31,Wallington,0.0
2023-08-31,Whitestone,0.0
