FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,ALL,FIN-Allstate,,117.94,221014.1500149924,47166.9977625021,26066408.8527682,Trustmind,2022-08-31
Equities,ALB,FIN-Albemarle Corporation,,266.22,162461.8938543041,230588.61670205896,43250605.381892845,Trustmind,2022-08-31
Equities,AKAM,FIN-Akamai,,90.28,42883.3425402224,-10204.900848978248,3871508.1645312784,Trustmind,2022-08-31
Equities,MTD,FIN-Mettler Toledo,,1212.46,88240.72407314995,130855.06129025586,106988348.3097314,Trustmind,2022-08-31
Equities,CARR,FIN-Carrier Global,,38.47,9071.476306585508,1643.9124477867183,348979.69351434446,Trustmind,2022-08-31
Equities,SJM,FIN-J.M. Smucker Company (The),,136.18,94013.48172279526,-1076.8703270966976,12802755.94101026,Trustmind,2022-08-31
Equities,VZ,FIN-Verizon,,39.12,180604.84646747512,9021.28538715318,7065261.5938076265,Trustmind,2022-08-31
Equities,VMC,FIN-Vulcan Materials Company,,165.04,206994.5957229966,13695.255045200873,34162388.07812336,Trustmind,2022-08-31
Equities,STZ,FIN-Constellation Brands,,242.63,66799.05280303874,29314.7230110119,16207454.181601288,Trustmind,2022-08-31
Equities,KEYS,FIN-Keysight,,163.89,246579.2196062788,-289298.7610917938,40411868.30127303,Trustmind,2022-08-31
Equities,HRL,FIN-Hormel Foods,,49.02,137721.50392725272,-10146.582025437365,6751108.122513928,Trustmind,2022-08-31
Equities,ABC,FIN-AmerisourceBergen,,144.87,18142.95261317101,-6795.036920964994,2628369.545070085,Trustmind,2022-08-31
Equities,CRL,FIN-Charles River Laboratories,,205.25,227611.58732887276,146359.72168129787,46717278.29925112,Trustmind,2022-08-31
Equities,FTV,FIN-Fortive,,63.13,152565.73788348355,-65312.74518978027,9631475.032584315,Trustmind,2022-08-31
Equities,WHR,FIN-Whirlpool Corporation,,148.8,126175.98862796208,-25853.124768342404,18774987.10784076,Trustmind,2022-08-31
Equities,COP,FIN-ConocoPhillips,,104.17,57727.57649645324,-43038.19748112001,6013481.643635534,Trustmind,2022-08-31
Equities,AON,FIN-Aon,,277.18,168234.65150394943,-27007.603468682937,46631280.7038647,Trustmind,2022-08-31
Equities,TMO,FIN-Thermo Fisher Scientific,,544.03,200397.1584091162,-27011.92153333571,109022066.08931148,Trustmind,2022-08-31
Equities,CDNS,FIN-Cadence Design Systems,,173.77,183078.88546018023,101810.76782826363,31813617.926415525,Trustmind,2022-08-31
Equities,EG,FIN-Everest Re,,265.2,166585.29217547932,-116345.5567809246,44178419.48493712,Trustmind,2022-08-31
Equities,FMC,FIN-FMC Corporation,,105.94,205345.2363945265,66410.68877659213,21754274.343636137,Trustmind,2022-08-31
Equities,CSX,FIN-CSX,,31.33,217715.43135805216,-4550.065870042015,6821024.464447775,Trustmind,2022-08-31
Equities,MA,FIN-Mastercard,,322.35,50305.45951833782,77167.27060551282,16215964.875736196,Trustmind,2022-08-31
Equities,EPAM,FIN-EPAM Systems,,426.5,26389.74925552148,-18713.33775566817,11255228.05747991,Trustmind,2022-08-31
Equities,LEN,FIN-Lennar,,76.3,183078.88546018023,32603.67298875393,13968918.960611751,Trustmind,2022-08-31
Equities,ADSK,FIN-Autodesk,,201.74,84942.00541620975,-74878.61564700592,17136200.172666155,Trustmind,2022-08-31
Equities,HII,FIN-Huntington Ingalls Industries,,225.06,84117.32575197471,17428.942678155883,18931445.33373943,Trustmind,2022-08-31
Equities,XYL,FIN-Xylem Inc.,,90.28,89065.40373738499,-38119.4628174916,8040824.649411117,Trustmind,2022-08-31
Equities,MPWR,FIN-Monolithic Power Systems,,449.51,54428.857839513046,30478.148928181585,24466315.887439508,Trustmind,2022-08-31
