FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,POOL,X_Pool Corporation,,335.07,43338.52412585608,4076.4587093159744,14521439.278850596,WALLINGTON,2022-08-31
Equities,WHR,X_Whirlpool Corporation,,148.8,108346.31031464018,-73065.09920986457,16121930.97481846,WALLINGTON,2022-08-31
Equities,AVGO,X_Broadcom Inc.,,484.77,4127.478488176769,-9717.659576463106,2000877.7467134525,WALLINGTON,2022-08-31
Equities,NVR,"X_NVR, Inc.",,4140.06,45402.26336994446,-482535.77251425775,187968094.48737228,WALLINGTON,2022-08-31
Equities,MA,X_Mastercard,,322.35,142913.94265312064,-112893.327190151,46068309.41423344,WALLINGTON,2022-08-31
Equities,RJF,X_Raymond James,,102.71,51077.54629118752,35987.34530616989,5246174.779567869,WALLINGTON,2022-08-31
Equities,O,X_Realty Income,,65.29,51077.54629118752,5871.317814319571,3334852.9973516334,WALLINGTON,2022-08-31
Equities,J,X_Jacobs Solutions,,123.52,91836.39636193312,-14520.026635229337,11343631.67862598,WALLINGTON,2022-08-31
Equities,SPG,X_Simon Property Group,,95.69,131047.44199961242,-60767.45266668519,12539929.724942911,WALLINGTON,2022-08-31
Equities,VLO,X_Valero Energy,,113.5,72230.87354309346,3490.2033847715893,8198204.147141108,WALLINGTON,2022-08-31
Equities,COST,X_Costco,,518.19,85129.24381864586,-44885.24192715052,44113122.8543841,WALLINGTON,2022-08-31
Equities,K,X_Kellogg's,,70.88,139818.33378698805,5132.060281869586,9910323.498821711,WALLINGTON,2022-08-31
Equities,ANET,X_Arista Networks,,119.88,38179.17601563512,-33866.1259156074,4576919.620754338,WALLINGTON,2022-08-31
Equities,GRMN,X_Garmin,,85.84,25280.80574008271,731.9710489183577,2170104.3647287,WALLINGTON,2022-08-31
Equities,MTB,X_M&T Bank,,177.1,125888.09388939146,-100110.00354977007,22294781.427811228,WALLINGTON,2022-08-31
Equities,CMG,X_Chipotle Mexican Grill,,1596.8,85129.24381864586,521495.934023749,135934376.5296137,WALLINGTON,2022-08-31
Equities,WRB,X_Berkley,,63.95,23733.001307016424,-4473.56399910625,1517725.4335837003,WALLINGTON,2022-08-31
Equities,VTRS,X_Viatris,,9.12,11866.500653508212,685.4875201625854,108222.48595999488,WALLINGTON,2022-08-31
Equities,MCO,X_Moody's Corporation,,281.74,85645.17862966796,2750.747553978333,24129672.62712265,WALLINGTON,2022-08-31
Equities,KMI,X_Kinder Morgan,,17.2,118665.00653508212,-5042.759564612257,2041038.112403412,WALLINGTON,2022-08-31
Equities,ALLE,X_Allegion,,93.58,95963.87485010987,-78347.8729880983,8980299.408473283,WALLINGTON,2022-08-31
Equities,PPL,X_PPL Corporation,,28.13,143429.87746414272,-6480.807821157944,4034682.453066335,WALLINGTON,2022-08-31
Equities,CFG,X_Citizens Financial Group,,34.97,75326.48240922604,17835.20972282571,2634167.0898506343,WALLINGTON,2022-08-31
Equities,ABBV,X_AbbVie,,129.22,53141.2855352759,18322.890069118846,6866916.916868351,WALLINGTON,2022-08-31
