FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,FANG,Diamondback Energy,,115.03,96238.89316455086,-172160.24643005617,11070359.880718283,Whitestone,2022-09-30
Equities,AOS,A. O. Smith,,47.45,364464.0153607845,126374.13205298057,17293817.528869227,Whitestone,2022-09-30
Equities,ADM,ADM,,78.78,32418.984711542133,-7132.828929994284,2553967.6155752894,Whitestone,2022-09-30
Equities,TMO,Thermo Fisher Scientific,,506.26,256153.7070416821,1381595.1531958068,129680375.726922,Whitestone,2022-09-30
Equities,CHRW,C.H. Robinson,,94.52,252541.4508422113,-608203.1284135546,23870217.933605816,Whitestone,2022-09-30
Equities,CHD,Church & Dwight,,70.56,89794.1130344558,97709.62767310617,6335872.615711202,Whitestone,2022-09-30
Equities,JBHT,J.B. Hunt,,155.03,56756.65749154362,-1485.1997198944737,8798984.610914007,Whitestone,2022-09-30
Equities,SO,Southern Company,,65.29,49625.03651239191,4313.713253722004,3240018.633894068,Whitestone,2022-09-30
Equities,FAST,Fastenal,,44.85,296616.3156184782,-137508.32834759154,13303241.75548875,Whitestone,2022-09-30
Equities,STT,State Street Corporation,,59.3,34214.96602420034,13084.62016224022,2028947.48523508,Whitestone,2022-09-30
Equities,FCX,Freeport-McMoRan,,26.9,282291.1057819536,-71782.4304986959,7593630.745534551,Whitestone,2022-09-30
Equities,STZ,Constellation Brands,,226.49,243482.30270365105,542621.7618829659,55146306.73934992,Whitestone,2022-09-30
Equities,NSC,Norfolk Southern Railway,,204.78,335645.3281353721,763021.356095926,68733450.29556149,Whitestone,2022-09-30
Equities,ALL,Allstate,,121.89,41174.81639354576,21793.39611917356,5018798.3702092925,Whitestone,2022-09-30
Equities,SJM,J.M. Smucker Company (The),,133.67,157791.23629598168,-20811.35020346809,21091954.55568387,Whitestone,2022-09-30
Equities,EVRG,Evergy,,56.96,41644.10529586464,-27745.120914122934,2372048.23765245,Whitestone,2022-09-30
Equities,MSFT,Microsoft,,230.67,173626.7470709087,-557796.7892962208,40050481.746846505,Whitestone,2022-09-30
Equities,AXP,American Express,,132.98,139687.9186093083,-36596.44111022868,18575699.41666582,Whitestone,2022-09-30
Equities,SYK,Stryker Corporation,,200.87,298743.3962570711,74365.62129591547,60008586.00615788,Whitestone,2022-09-30
Equities,VICI,Vici Properties,,28.78,206375.01918212164,77581.12604116049,5939473.052061461,Whitestone,2022-09-30
Equities,ARE,Alexandria Real Estate Equities,,136.12,313988.94384051143,-424540.5566298784,42740175.03557042,Whitestone,2022-09-30
Equities,DD,DuPont,,49.42,123112.53794333807,-33574.45008995428,6084221.625159767,Whitestone,2022-09-30
Equities,AMT,American Tower,,208.31,274191.0706123538,-1386215.7101225469,57116741.91925942,Whitestone,2022-09-30
Equities,HON,Honeywell,,163.52,156405.95826978015,-201181.99019209773,25575502.296274453,Whitestone,2022-09-30
Equities,RCL,Royal Caribbean Group,,37.9,133028.72720466607,37908.03413503585,5041788.761056844,Whitestone,2022-09-30
Equities,APH,Amphenol,,66.43,297253.02650757035,-187490.1331413216,19746518.5508979,Whitestone,2022-09-30
Equities,PHM,PulteGroup,,37.18,11789.6002229917,-4319.63221285026,438337.3362908314,Whitestone,2022-09-30
Equities,ETN,Eaton Corporation,,130.83,358447.33300927834,14391.526337778296,46895664.57760389,Whitestone,2022-09-30
Equities,MDLZ,Mondelez International,,53.93,321982.67933596944,-56902.16725003357,17364525.896588832,Whitestone,2022-09-30
Equities,LEN,Lennar,,73.44,118237.48993309731,15247.492384297146,8683361.260686666,Whitestone,2022-09-30
Equities,ATVI,Activision Blizzard,,73.55,294791.82666593656,124877.29372671605,21681938.851279635,Whitestone,2022-09-30
Equities,AZO,AutoZone,,2141.93,105242.71715452377,-291599.33338424435,225422533.15478903,Whitestone,2022-09-30
Equities,VRSK,Verisk,,169.66,222889.76071579743,148890.49279115425,37815476.8030422,Whitestone,2022-09-30
Equities,CSGP,CoStar Group,,69.65,340437.75230798457,10.21926412770643,23711489.44825113,Whitestone,2022-09-30
Equities,JKHY,Jack Henry & Associates,,180.57,83619.18912257964,69195.28970222098,15099116.979864206,Whitestone,2022-09-30
Equities,CI,Cigna,,274.05,52741.79127626109,19237.716402392278,14453887.899259351,Whitestone,2022-09-30
Equities,CMA,Comerica,,68.07,84229.32509313633,-62712.29604722309,5733490.15908979,Whitestone,2022-09-30
Equities,TTWO,Take-Two Interactive,,109.0,336629.80807202565,-599632.2098465235,36692649.07985079,Whitestone,2022-09-30
Equities,NEM,Newmont,,40.74,80973.17280204037,-238.75148402396587,3298847.0599551247,Whitestone,2022-09-30
Equities,EXC,Exelon,,36.18,24589.047350329824,13395.450073037391,889631.733134933,Whitestone,2022-09-30
Equities,WEC,WEC Energy Group,,86.47,47206.71892566759,-73624.60385157235,4081964.985502476,Whitestone,2022-09-30
