FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,AVGO,Broadcom Inc.,,552.19,138581.7164634702,386406.6073497961,76523438.01396361,Leeder,2022-12-31
Equities,IP,International Paper,,33.28,178684.8084840913,34677.85063223541,5946630.426350559,Leeder,2022-12-31
Equities,MS,Morgan Stanley,,82.85,166406.92654428154,-134363.48497454074,13786813.864193724,Leeder,2022-12-31
Equities,APD,Air Products and Chemicals,,304.51,144976.92306584664,4317.827961027432,44146922.84278096,Leeder,2022-12-31
Equities,PRU,Prudential Financial,,95.45,223968.0481799311,-414446.84614009794,21377750.198774423,Leeder,2022-12-31
Equities,SHW,Sherwin-Williams,,235.53,135890.04619168572,55386.62188510035,32006182.579527736,Leeder,2022-12-31
Equities,CHTR,Charter Communications,,339.1,232902.63285990292,2067732.8693344053,78977282.8027931,Leeder,2022-12-31
Equities,KEY,KeyCorp,,16.88,160360.97561436996,44727.69285311924,2706893.268370565,Leeder,2022-12-31
Equities,KR,Kroger,,43.83,160313.51749788155,-39772.27452311935,7026541.471932148,Leeder,2022-12-31
Equities,TSN,Tyson Foods,,61.19,224242.96099979663,-105345.36308760014,13721426.783577558,Leeder,2022-12-31
Equities,TRMB,Trimble Inc.,,50.56,168612.86832157488,122586.2492791375,8525066.622338826,Leeder,2022-12-31
Equities,INTC,Intel,,25.91,123104.14109817092,21507.37906041272,3189628.2958536088,Leeder,2022-12-31
Equities,EMR,Emerson Electric,,94.37,186494.66039298524,-1794.162700239003,17599501.101286016,Leeder,2022-12-31
Equities,OXY,Occidental Petroleum,,62.62,209514.22389397616,-21301.10428328832,13119780.700240787,Leeder,2022-12-31
Equities,BBY,Best Buy,,78.32,8840.406137924872,-6238.324331290331,692380.6087222759,Leeder,2022-12-31
Equities,PPL,PPL Corporation,,28.7,120585.91016056518,666.3070375578789,3460815.6216082205,Leeder,2022-12-31
Equities,PAYX,Paychex,,113.02,67245.44619734776,74294.62400562094,7600080.329224244,Leeder,2022-12-31
Equities,VLO,Valero Energy,,123.8,108849.9851572346,-162613.26897175683,13475628.162465643,Leeder,2022-12-31
Equities,C,Citigroup,,43.79,89255.52064363853,33450.18538674292,3908499.248984932,Leeder,2022-12-31
Equities,FTV,Fortive,,64.11,62888.15177157161,12033.890664754408,4031759.410075456,Leeder,2022-12-31
Equities,ILMN,Illumina,,202.2,23395.621943907765,24782.743182175174,4730594.75705815,Leeder,2022-12-31
Equities,IT,Gartner,,336.14,78217.77912260217,78671.7459242795,26292124.27427149,Leeder,2022-12-31
Equities,HOLX,Hologic,,74.81,90479.59579327249,9294.905716384808,6768778.561294715,Leeder,2022-12-31
Equities,WST,West Pharmaceutical Services,,234.94,148024.32429714708,-15235.98568404911,34776834.75037173,Leeder,2022-12-31
Equities,ALL,Allstate,,133.58,125737.12395820116,59614.08270721949,16795965.018336512,Leeder,2022-12-31
Equities,AZO,AutoZone,,2466.18,133930.98497892282,-751857.0628916791,330297916.53531986,Leeder,2022-12-31
Equities,CHD,Church & Dwight,,79.89,43976.13333376583,1439.0095986179858,3513253.292034552,Leeder,2022-12-31
Equities,MGM,MGM Resorts,,33.53,211419.76153149392,-41596.91615361128,7088904.604150991,Leeder,2022-12-31
Equities,CFG,Citizens Financial Group,,37.92,164042.46318272463,-15374.462566435352,6220490.203888918,Leeder,2022-12-31
Equities,RHI,Robert Half,,72.41,126593.6650934412,110200.40217345828,9166647.289416077,Leeder,2022-12-31
Equities,GOOG,Alphabet Inc. (Class C),,88.73,121117.86728666164,82959.93510305691,10746788.364345487,Leeder,2022-12-31
Equities,EQT,EQT,,33.39,114739.4636443545,274756.0359532653,3831150.691084997,Leeder,2022-12-31
Equities,REGN,Regeneron,,721.49,123694.539739045,851757.2751323535,89244373.47632357,Leeder,2022-12-31
Equities,ABC,AmerisourceBergen,,164.3,181506.3943251921,136464.91234020315,29821500.58762906,Leeder,2022-12-31
Equities,MA,Mastercard,,346.12,109801.03269715712,-52132.69997969896,38004333.437140025,Leeder,2022-12-31
Equities,CDW,CDW,,176.94,56817.93900663314,3608.3905937703735,10053366.127833668,Leeder,2022-12-31
Equities,WRK,WestRock,,34.25,123105.2066517363,-13405.64744026595,4216353.327821968,Leeder,2022-12-31
Equities,SEDG,SolarEdge,,283.27,182340.804732536,-31907.78020773697,51651679.75658546,Leeder,2022-12-31
Equities,BA,Boeing,,190.49,78743.42489296525,-90461.12073376126,14999835.007860951,Leeder,2022-12-31
Equities,ODFL,Old Dominion,,283.09,129721.31070477991,28029.96439496342,36722805.84741614,Leeder,2022-12-31
Equities,LNC,Lincoln Financial,,29.12,15746.34076074924,19046.82735695699,458533.4429530178,Leeder,2022-12-31
Equities,PCAR,Paccar,,65.32,121935.39276827736,15984.139530276423,7964819.855623877,Leeder,2022-12-31
Equities,LMT,Lockheed Martin,,480.21,54657.57013567411,-3921.237120562988,26247111.754852064,Leeder,2022-12-31
Equities,XEL,Xcel Energy,,68.98,46190.10774562888,-4122.216916123491,3186193.63229348,Leeder,2022-12-31
Equities,AAP,Advance Auto Parts,,144.7,15766.586278491272,2022.5272224295468,2281425.034497687,Leeder,2022-12-31
Equities,VRSK,Verisk,,175.81,8101.485723169943,5048.756724042658,1424322.2049905078,Leeder,2022-12-31
Equities,WTW,Willis Towers Watson,,242.81,123955.0266029486,-280.2241945607011,30097520.00946195,Leeder,2022-12-31
Equities,CRM,Salesforce,,132.59,42140.51240326815,-235196.2287127971,5587410.539549324,Leeder,2022-12-31
Equities,DOV,Dover Corporation,,134.45,183277.3443508377,310108.05412974494,24641638.94797013,Leeder,2022-12-31
Equities,FSLR,First Solar,,149.79,163780.91076525566,959535.2478302974,24532742.62352764,Leeder,2022-12-31
Equities,MTB,M&T Bank,,142.32,3360.592013860458,-1846.751866972879,478279.45541262033,Leeder,2022-12-31
Equities,COST,Costco,,453.9,56751.055028991424,470066.16853074415,25759303.877659205,Leeder,2022-12-31
Equities,PARA,Paramount Global,,16.63,95300.32405432589,-8701.21205602394,1584844.3890234393,Leeder,2022-12-31
Equities,HCA,HCA Healthcare,,238.87,92833.48558483456,3048.5077676948604,22175134.701649427,Leeder,2022-12-31
Equities,FICO,Fair Isaac,,598.58,203619.663536006,-887733.2077076245,121882658.19938248,Leeder,2022-12-31
Equities,TPR,"Tapestry, Inc.",,37.55,70131.78490895953,1301.975311828396,2633448.52333143,Leeder,2022-12-31
Equities,EIX,Edison International,,62.28,42918.61240296516,2996.4021983485954,2672971.18045667,Leeder,2022-12-31
Equities,MSFT,Microsoft,,238.19,115504.6950356082,-126647.959145879,27512063.31053152,Leeder,2022-12-31
Equities,MSCI,MSCI,,461.52,130553.26214235758,121002.5211132165,60252941.54394087,Leeder,2022-12-31
Equities,EG,Everest Re,,328.2,52054.09491283875,-9188.809367537628,17084153.950393677,Leeder,2022-12-31
Equities,EXR,Extra Space Storage,,143.09,180129.69911873352,-258737.18396645528,25774758.64689958,Leeder,2022-12-31
Equities,TJX,TJX Companies,,78.67,88562.74689483002,4707.910728178309,6967231.298216278,Leeder,2022-12-31
Equities,J,Jacobs Solutions,,119.29,93674.94503884164,-117160.81117316976,11174484.19368342,Leeder,2022-12-31
Equities,WEC,WEC Energy Group,,91.39,124706.65169482912,-1932.7502362639805,11396940.898390433,Leeder,2022-12-31
Equities,NI,NiSource,,26.69,81025.26687037651,7871.1622217321565,2162564.372770349,Leeder,2022-12-31
Equities,IR,Ingersoll Rand,,52.2,149391.7573841528,9964.532363126968,7798249.735452776,Leeder,2022-12-31
Government Bond,AU0000018442,AUSTRALIAN GOVERNMENT 2.8% 05/21/2041 REGS,BF5J6P3,107.22,13356.691777175663,-202.47723840559848,1432104.4923487746,Leeder,2022-12-31
Government Bond,SE0008014062,SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,122.4,7603.931300639618,93.99410538126745,930721.1911982892,Leeder,2022-12-31
Government Bond,AU000XCLWAV1,AUSTRALIAN GOVERNMENT 0.8% 11/21/2027 REGS,BF00GK6,119.26,3244.707350105842,-26.784520267357728,386963.7985736228,Leeder,2022-12-31
Government Bond,US912810PS15,TSY INFL IX N/B 2.375% 01/15/2027,BYQLTT6,166.12,5257.243997690377,61.41159899551699,873333.3728963254,Leeder,2022-12-31
Government Bond,GB00BZ13DV40,UNITED KINGDOM I/L GILT 0.125% 08/10/2048 REGS,BZ13DV4,217.9,4862.595516815336,-719.8165100179392,1059559.5631140615,Leeder,2022-12-31
Government Bond,US912828ZZ63,TSY INFL IX N/B 0.125% 07/15/2030 ,BLCGQJ3,120.89,15317.804302161056,252.3249774512691,1851769.3620882505,Leeder,2022-12-31
Government Bond,GB00BYZW3J87,UNITED KINGDOM I/L GILT 0.125% 11/22/2036 REGS,BYZW3J8,183.04,5322.233689234211,-121.51889394745272,974181.65447743,Leeder,2022-12-31
Government Bond,US912810PZ57,TSY INFL IX N/B 2.5% 01/15/2029,BYQLTV8,165.05,4459.116627419799,-35.4610235335302,735977.199355638,Leeder,2022-12-31
Government Bond,JP1400131L54,JAPAN (40 YEAR ISSUE) 0.5 % 03/20/2060 ,BMC2Z46,92.59,1223650.5484336957,3083.584521404771,113297804.27947588,Leeder,2022-12-31
