FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,FANG,Diamondback Energy,,132.4,100834.9045301696,-7543.797965636846,13350541.359794457,WHITESTONE,2022-12-31
Equities,AOS,A. O. Smith,,56.23,370242.8521913984,101259.66836443392,20818755.57872233,WHITESTONE,2022-12-31
Equities,ADM,ADM,,91.31,33058.23229740353,-11774.875302221448,3018547.191075916,WHITESTONE,2022-12-31
Equities,TMO,Thermo Fisher Scientific,,549.97,247942.0572142336,-201897.0970908684,136360693.20611203,WHITESTONE,2022-12-31
Equities,CHRW,C.H. Robinson,,90.41,262670.11865673854,-112525.60377793024,23748005.42775573,WHITESTONE,2022-12-31
Equities,CHD,Church & Dwight,,79.89,86654.89038491577,-661.3530862795415,6922859.19285092,WHITESTONE,2022-12-31
Equities,JBHT,J.B. Hunt,,173.22,58085.16182814672,101077.60601344817,10061511.731871571,WHITESTONE,2022-12-31
Equities,SO,Southern Company,,69.29,48060.01540082346,7703.76689571116,3330078.4671230577,WHITESTONE,2022-12-31
Equities,FAST,Fastenal,,46.41,299769.5504977916,-31153.354216291707,13912304.838602506,WHITESTONE,2022-12-31
Equities,STT,State Street Corporation,,76.26,33957.914084912154,-822.2279794862715,2589630.528115401,WHITESTONE,2022-12-31
Equities,FCX,Freeport-McMoRan,,37.6,286737.0896529314,-92499.56053644713,10781314.57095022,WHITESTONE,2022-12-31
Equities,STZ,Constellation Brands,,229.3,241659.2632921204,1255894.2181871068,55412469.0728832,WHITESTONE,2022-12-31
Equities,NSC,Norfolk Southern Railway,,242.03,327801.13695421803,-532461.711505553,79337709.17702939,WHITESTONE,2022-12-31
Equities,ALL,Allstate,,133.58,41276.28426431741,6356.962103843866,5513686.05202752,WHITESTONE,2022-12-31
Equities,SJM,J.M. Smucker Company (The),,155.21,157344.77766458644,-22593.995738825037,24421482.94132046,WHITESTONE,2022-12-31
Equities,EVRG,Evergy,,60.97,42189.495101262255,-3728.944250858034,2572293.5163239595,WHITESTONE,2022-12-31
Equities,MSFT,Microsoft,,238.19,179948.19541998248,249990.1982652692,42861860.667085625,WHITESTONE,2022-12-31
Equities,AXP,American Express,,146.19,138931.25820155404,-171281.29307900454,20310360.636485185,WHITESTONE,2022-12-31
Equities,SYK,Stryker Corporation,,243.22,290563.0323564438,-86866.14890776324,70670740.72973427,WHITESTONE,2022-12-31
Equities,VICI,Vici Properties,,31.61,196228.7152852937,-20725.73064774981,6202789.690168134,WHITESTONE,2022-12-31
Equities,ARE,Alexandria Real Estate Equities,,142.65,325299.2291691914,351606.8885807152,46403935.04098515,WHITESTONE,2022-12-31
Equities,DD,DuPont,,67.62,125451.61395479312,31879.24207633325,8483038.13562311,WHITESTONE,2022-12-31
Equities,AMT,American Tower,,208.59,282212.4681821055,113965.76505066048,58866698.73810539,WHITESTONE,2022-12-31
Equities,HON,Honeywell,,210.9,159823.97597377375,-30679.08251674845,33706876.532868885,WHITESTONE,2022-12-31
Equities,RCL,Royal Caribbean Group,,49.43,130771.79185050236,-132872.17677547585,6464049.671170332,WHITESTONE,2022-12-31
Equities,APH,Amphenol,,75.74,302528.63101719064,84728.02759847057,22913518.513242017,WHITESTONE,2022-12-31
Equities,PHM,PulteGroup,,45.3,11975.624652739723,2011.2381527952168,542495.7967691096,WHITESTONE,2022-12-31
Equities,ETN,Eaton Corporation,,154.77,365634.1573419332,5729.794026407459,56589198.53181101,WHITESTONE,2022-12-31
Equities,MDLZ,Mondelez International,,65.94,323860.31812558195,12780.89300239706,21355349.37720087,WHITESTONE,2022-12-31
Equities,LEN,Lennar,,89.58,118729.6091063398,16085.26669112648,10635798.38374592,WHITESTONE,2022-12-31
Equities,ATVI,Activision Blizzard,,75.73,293175.10525830835,-82728.50052909482,22202150.72121169,WHITESTONE,2022-12-31
Equities,AZO,AutoZone,,2466.18,101187.02220076406,-2189354.490762523,249545410.41108027,WHITESTONE,2022-12-31
Equities,VRSK,Verisk,,175.81,221386.58668736604,-25385.956680155483,38921975.80550583,WHITESTONE,2022-12-31
Equities,CSGP,CoStar Group,,77.28,332092.0199370164,-131923.8870460637,25664071.300732624,WHITESTONE,2022-12-31
Equities,JKHY,Jack Henry & Associates,,174.38,81204.25379821438,-10690.60654646716,14160397.777332624,WHITESTONE,2022-12-31
Equities,CI,Cigna,,328.38,51552.322081632,10021.14811003448,16928751.525166314,WHITESTONE,2022-12-31
Equities,CMA,Comerica,,64.67,88191.64544676925,26653.46553896723,5703353.711042568,WHITESTONE,2022-12-31
Equities,TTWO,Take-Two Interactive,,104.13,337908.06165357993,-120452.94425532893,35186366.459987275,WHITESTONE,2022-12-31
Equities,NEM,Newmont,,46.29,83295.94147712138,-1133.0578902834025,3855769.1309759486,WHITESTONE,2022-12-31
Equities,EXC,Exelon,,42.12,24683.267516046355,-10035.534804568892,1039659.2277758725,WHITESTONE,2022-12-31
Equities,WEC,WEC Energy Group,,91.39,47868.67598736836,886.1527380724885,4374718.298485594,WHITESTONE,2022-12-31
Equities,LNT,Alliant Energy,,53.85,283536.0199202543,-52802.285454453806,15268414.672705697,WHITESTONE,2022-12-31
Equities,BSX,Boston Scientific,,46.27,3687.2699467912057,70.6651242873977,170609.9804380291,WHITESTONE,2022-12-31
Equities,HPQ,HP Inc.,,26.39,164215.60205683816,42840.45981029648,4333649.738279959,WHITESTONE,2022-12-31
Equities,UDR,"UDR, Inc.",,37.57,45445.04341693693,8143.726751573478,1707370.2811743205,WHITESTONE,2022-12-31
Equities,OXY,Occidental Petroleum,,62.62,151074.06325089847,84041.63369122503,9460257.840771262,WHITESTONE,2022-12-31
Equities,ILMN,Illumina,,202.2,339385.38553398143,812042.5863001781,68623724.95497105,WHITESTONE,2022-12-31
Equities,MHK,Mohawk Industries,,102.22,1184.2750060062565,94.60670998613668,121056.59111395954,WHITESTONE,2022-12-31
Equities,TROW,T. Rowe Price,,106.64,3597.398404107744,671.7897815589157,383626.56581404986,WHITESTONE,2022-12-31
Equities,AMD,AMD,,64.77,252022.99834060192,67193.38900943894,16323529.602520784,WHITESTONE,2022-12-31
Equities,ULTA,Ulta Beauty,,469.07,349123.8852263748,-58188.48994321634,163763540.84313563,WHITESTONE,2022-12-31
Equities,XOM,ExxonMobil,,107.63,362845.2404367239,5288.215516416205,39053033.228204586,WHITESTONE,2022-12-31
Equities,ABC,AmerisourceBergen,,164.3,165274.85415064363,-65252.17576698411,27154658.536950752,WHITESTONE,2022-12-31
Equities,NI,NiSource,,26.69,342454.06385431834,4988.836979606131,9140098.964271758,WHITESTONE,2022-12-31
Equities,T,AT&T,,17.58,345633.39047183003,4491.644412824962,6076235.004494771,WHITESTONE,2022-12-31
Equities,CEG,Constellation Energy,,85.37,138489.51057844458,-277983.1725730131,11822849.518081814,WHITESTONE,2022-12-31
Government Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,DE0001030567,121.43,5877.152722654725,160.2833836632898,713662.6551119633,WHITESTONE,2022-12-31
Government Bond,IT0004735152,BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,IT0004735152,140.54,5322.793377505249,88.74772158682345,748065.3812745876,WHITESTONE,2022-12-31
Government Bond,FR0000188799,FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,FR0000188799,209.53,3401.923432046332,-227.04863263922107,712805.0167166679,WHITESTONE,2022-12-31
Government Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,DK0009923807,104.73,96853.086645021,2718.457579431861,10143423.764333049,WHITESTONE,2022-12-31
Government Bond,US912810FS25,TSY INFL IX N/B 2% 01/15/2026,US912810FS25,161.57,6245.604941828489,168.6128553082134,1009102.390451229,WHITESTONE,2022-12-31
Government Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,US912810FQ68,232.26,1518.9356471251629,-3.1767992619751078,352787.9934012903,WHITESTONE,2022-12-31
Government Bond,GB00B3MYD345,UNITED KINGDOM I/L GILT 0.625% 11/22/2042 REGS,GB00B3MYD345,273.38,4141.474627436157,-21.807332426740224,1132196.3336484963,WHITESTONE,2022-12-31
Government Bond,MX0MG00000H9,MEX BONOS DESARR FIX RT 8.5 % 05/31/2029 ,MX0MG00000H9,106.13,3575832.999970686,-10562.132282360391,379503156.2868889,WHITESTONE,2022-12-31
Government Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,IT0003745541,179.58,5212.04396117413,88.22060584657036,935978.8545476504,WHITESTONE,2022-12-31
Government Bond,JP1103571L10,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2029 ,JP1103571L10,100.99,6031104.187427894,-0.0,609081211.888343,WHITESTONE,2022-12-31
