FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,HSIC,Henry Schein,,78.31,8389.897819130214,7032.822961075173,657012.898216087,BELAWARE,2023-02-28
Equities,JNPR,Juniper Networks,,30.56,9495.699809346808,1766.0580382122675,290188.58617363847,BELAWARE,2023-02-28
Equities,CRL,Charles River Laboratories,,219.34,9258.331719273712,-43091.40655881099,2030722.479305496,BELAWARE,2023-02-28
Equities,ACN,Accenture,,263.55,3805.805708953719,1806.808159430415,1003020.0945947528,BELAWARE,2023-02-28
Equities,LEN,Lennar,,96.13,3518.9909310925286,2899.9577814187905,338280.59820592473,BELAWARE,2023-02-28
Equities,CTSH,Cognizant,,62.08,776.8337527573354,-174.71762735715717,48225.83937117538,BELAWARE,2023-02-28
Equities,COF,Capital One,,107.76,8856.664423291699,3403.8022381319,954394.1582539136,BELAWARE,2023-02-28
Equities,PG,Procter & Gamble,,135.85,7652.772012269954,-2420.350231269586,1039629.0778668732,BELAWARE,2023-02-28
Equities,APTV,Aptiv,,116.28,5396.882244216029,4296.074232863756,627549.4673574398,BELAWARE,2023-02-28
Equities,ROL,"Rollins, Inc.",,34.98,7373.643610577965,1415.0688494514409,257930.0534980172,BELAWARE,2023-02-28
Equities,SWKS,Skyworks Solutions,,110.88,816.2818211766477,239.5495615931638,90509.3283320667,BELAWARE,2023-02-28
Equities,PNW,Pinnacle West,,72.13,7342.51828497212,-685.2869135717559,529615.8438950389,BELAWARE,2023-02-28
Equities,RSG,Republic Services,,128.04,6313.403473033168,-3828.091202200576,808368.1806871668,BELAWARE,2023-02-28
Equities,ADP,ADP,,217.32,3711.8799913178377,4944.815376360803,806665.7597131925,BELAWARE,2023-02-28
Equities,SPGI,S&P Global,,339.55,1285.0608099095225,2889.171200210375,436342.3980047784,BELAWARE,2023-02-28
Equities,CTAS,Cintas,,436.2,6404.393907875349,1543.1254756763724,2793596.6226152275,BELAWARE,2023-02-28
Equities,WHR,Whirlpool Corporation,,132.66,2295.6177045262125,-6597.842704206607,304536.64468244737,BELAWARE,2023-02-28
Equities,LYB,LyondellBasell,,92.28,7991.23244119261,-1033.86057449441,737430.929673254,BELAWARE,2023-02-28
Equities,WST,West Pharmaceutical Services,,316.71,6719.392065023614,15215.008042107922,2128098.6609136285,BELAWARE,2023-02-28
Equities,TROW,T. Rowe Price,,109.78,9111.174431609506,-5015.830228921898,1000224.7291020916,BELAWARE,2023-02-28
Equities,KMB,Kimberly-Clark,,122.78,1062.965519298766,615.2779201200822,130510.90645950253,BELAWARE,2023-02-28
Equities,ARE,Alexandria Real Estate Equities,,146.67,2198.1303327399723,-104.66565416880998,322399.77590297174,BELAWARE,2023-02-28
