FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,TJX,TJX Companies,,76.5,37969.72134417569,-4011.354087796089,2904683.68282944,APPLEBEAD,2023-05-31
Equities,SYY,Sysco,,69.48,175222.27610773558,-43727.71552747938,12174443.74396547,APPLEBEAD,2023-05-31
Equities,PNR,Pentair,,55.29,317031.3704403732,-8200.990579494593,17528664.471648235,APPLEBEAD,2023-05-31
Equities,AXP,American Express,,158.02,311171.5759495169,-34793.96316943668,49171332.431542665,APPLEBEAD,2023-05-31
Equities,COP,ConocoPhillips,,98.28,272356.4373361867,95739.29657912886,26767190.66140043,APPLEBEAD,2023-05-31
Equities,DGX,Quest Diagnostics,,131.97,206729.5240418287,247027.67687649236,27282095.287800133,APPLEBEAD,2023-05-31
Equities,WYNN,Wynn Resorts,,98.44,73741.39998556847,7334.26381590856,7259103.41457936,APPLEBEAD,2023-05-31
Equities,STT,State Street Corporation,,67.43,107307.0184906301,-14434.01770053126,7235712.256823189,APPLEBEAD,2023-05-31
Equities,META,Meta Platforms,,264.72,292877.90244332625,210503.20342193445,77530638.33479734,APPLEBEAD,2023-05-31
Equities,ANSS,Ansys,,323.59,279982.07156604686,-323722.6360857104,90599398.53805707,APPLEBEAD,2023-05-31
Equities,MHK,Mohawk Industries,,92.04,198425.15076658057,283126.2136245409,18263050.87655608,APPLEBEAD,2023-05-31
Equities,GOOG,Alphabet Inc. (Class C),,123.37,84959.47740032821,-104203.42776708111,10481450.726878492,APPLEBEAD,2023-05-31
Equities,TEL,TE Connectivity,,121.92,10780.283346006185,-498.45228309894026,1314332.1455450738,APPLEBEAD,2023-05-31
Equities,NWL,Newell Brands,,8.31,94491.04547119324,-38955.116673529854,785220.5878656157,APPLEBEAD,2023-05-31
Equities,MMC,Marsh McLennan,,172.54,125771.3789373613,119922.2075459562,21700593.72185232,APPLEBEAD,2023-05-31
Equities,SO,Southern Company,,69.03,251694.6671419528,-152303.23969500748,17374482.872809,APPLEBEAD,2023-05-31
Equities,CRL,Charles River Laboratories,,193.38,268251.51135947875,140189.72044545494,51874477.266696,APPLEBEAD,2023-05-31
Equities,GWW,W. W. Grainger,,647.33,29762.40121188015,-138641.9548989629,19266095.17648638,APPLEBEAD,2023-05-31
Equities,QRVO,Qorvo,,97.26,271646.78897461924,361447.54087679135,26420366.69567147,APPLEBEAD,2023-05-31
Equities,MCO,Moody's Corporation,,316.14,169547.83202140944,-37850.47256939977,53600851.61524838,APPLEBEAD,2023-05-31
Equities,EBAY,eBay,,42.54,169128.39365577948,115848.0326466072,7194721.866116859,APPLEBEAD,2023-05-31
Equities,REGN,Regeneron,,735.56,174114.92084515584,1625472.3585604583,128071971.17686282,APPLEBEAD,2023-05-31
Equities,AVY,Avery Dennison,,160.34,151969.92544449418,-267325.57690406445,24366857.845770195,APPLEBEAD,2023-05-31
Equities,BK,BNY Mellon,,39.83,192435.70593584524,-78495.44270055479,7664714.167424715,APPLEBEAD,2023-05-31
Equities,IFF,International Flavors & Fragrances,,76.49,222499.60484615853,-362109.60155054566,17018994.774682663,APPLEBEAD,2023-05-31
Equities,CPRT,Copart,,43.8,119189.69894952171,77776.78527550036,5220508.813989052,APPLEBEAD,2023-05-31
Equities,LEN,Lennar,,106.8,303793.2162490925,1698.7253808000437,32445115.49540308,APPLEBEAD,2023-05-31
Equities,TPR,"Tapestry, Inc.",,39.74,235260.08878603776,8103.895239523244,9349235.92835714,APPLEBEAD,2023-05-31
Equities,ACGL,Arch Capital Group,,69.7,184925.7970297014,-109050.28282464236,12889328.05297019,APPLEBEAD,2023-05-31
Equities,HAL,Halliburton,,28.5,48470.87141164647,-24780.832172198127,1381419.8352319244,APPLEBEAD,2023-05-31
Equities,PTC,PTC,,134.4,24958.69260591345,6430.699055020169,3354448.286234767,APPLEBEAD,2023-05-31
Equities,ROK,Rockwell Automation,,277.5,258304.830117398,52494.86350653555,71679590.35757795,APPLEBEAD,2023-05-31
Equities,LLY,Eli Lilly and Company,,428.54,55365.231307868096,229292.32267364755,23726216.2246738,APPLEBEAD,2023-05-31
Equities,LYV,Live Nation Entertainment,,79.94,25958.761948511925,-14931.668240275323,2075143.4301640436,APPLEBEAD,2023-05-31
Equities,AZO,AutoZone,,2386.84,268414.180866471,10337720.11745569,640661703.4593277,APPLEBEAD,2023-05-31
Equities,EW,Edwards Lifesciences,,84.23,230226.7229059321,128078.5009334193,19391996.870366663,APPLEBEAD,2023-05-31
Equities,CAG,Conagra Brands,,34.5,138568.2578058477,51855.747461683495,4780604.894301746,APPLEBEAD,2023-05-31
