FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,POOL,X_Pool Corporation,,315.33,43165.17002935265,-2934.884853802392,13611273.06535577,Wallington,2023-05-31
Equities,WHR,X_Whirlpool Corporation,,127.62,105941.02222565518,6768.935736907417,13520193.256438114,Wallington,2023-05-31
Equities,AVGO,X_Broadcom Inc.,,803.68,4233.96743317173,-136336.80568221115,3402754.946691456,Wallington,2023-05-31
Equities,NVR,"X_NVR, Inc.",,5554.22,44258.12633302186,-1252093.176695756,245819370.4413967,Wallington,2023-05-31
Equities,MA,X_Mastercard,,364.49,145500.68501514214,492724.4000851649,53033544.68116916,Wallington,2023-05-31
Equities,RJF,X_Raymond James,,89.98,51705.80011056912,59.760729160688896,4652487.8939490095,Wallington,2023-05-31
Equities,O,X_Realty Income,,58.94,52563.902888261066,37209.992473129925,3098116.4362341072,Wallington,2023-05-31
Equities,J,X_Jacobs Solutions,,109.38,92157.82374919987,-7942.929921343164,10080222.761687484,Wallington,2023-05-31
Equities,SPG,X_Simon Property Group,,103.42,130431.51902221424,-107469.38623504183,13489227.697277397,Wallington,2023-05-31
Equities,VLO,X_Valero Energy,,106.19,71125.74117788413,-101644.36871294428,7552842.455679516,Wallington,2023-05-31
Equities,COST,X_Costco,,510.6,83494.76233732786,109678.38950484764,42632425.64943961,Wallington,2023-05-31
Equities,K,X_Kellogg's,,66.77,140391.5889555147,-31612.92526923815,9373946.394559717,Wallington,2023-05-31
Equities,ANET,X_Arista Networks,,166.34,38874.03701911968,-10145.734234394957,6466307.317760367,Wallington,2023-05-31
Equities,GRMN,X_Garmin,,102.44,25503.276830595438,-3691.6296581955153,2612555.678526196,Wallington,2023-05-31
Equities,MTB,X_M&T Bank,,119.16,123647.28581816028,-154326.2142990048,14733810.57809198,Wallington,2023-05-31
Equities,CMG,X_Chipotle Mexican Grill,,2076.49,86474.28587098047,-67203.5789477528,179562989.86823222,Wallington,2023-05-31
Equities,WRB,X_Berkley,,55.58,24409.391844266396,18282.836221866648,1356673.998704326,Wallington,2023-05-31
Equities,VTRS,X_Viatris,,9.05,11911.593355991545,26.343631450787672,107799.91987172348,Wallington,2023-05-31
Equities,MCO,X_Moody's Corporation,,316.14,85842.16254051619,-17420.2293332743,27138141.265558787,Wallington,2023-05-31
Equities,KMI,X_Kinder Morgan,,15.85,116576.50242006467,-2016.711786063712,1847737.563358025,Wallington,2023-05-31
Equities,ALLE,X_Allegion,,104.34,93593.56714131216,-47206.549316266086,9765552.795524511,Wallington,2023-05-31
Equities,PPL,X_PPL Corporation,,25.97,145122.3500182196,26428.38922154325,3768827.429973163,Wallington,2023-05-31
Equities,CFG,X_Citizens Financial Group,,25.44,76682.3590925921,23467.965594594367,1950799.215315543,Wallington,2023-05-31
Equities,ABBV,X_AbbVie,,136.45,53943.71894685856,150026.8830846242,7360620.4502988495,Wallington,2023-05-31
Equities,MAS,X_Masco,,48.09,114075.50842363508,14538.15556672798,5485891.200092611,Wallington,2023-05-31
Equities,FOX,X_Fox Corporation (Class B),,29.21,149090.35305630942,30294.061749214543,4354929.212774798,Wallington,2023-05-31
Equities,CSX,X_CSX,,30.67,55788.031115819256,-440.9694829805881,1711018.9143221767,Wallington,2023-05-31
Equities,MKC,X_McCormick & Company,,85.34,41570.51871544556,-20531.419430700003,3547628.0671761245,Wallington,2023-05-31
Equities,QRVO,X_Qorvo,,97.26,60795.0752698265,17029.439670013904,5912929.020743325,Wallington,2023-05-31
Equities,HST,X_Host Hotels & Resorts,,16.45,4245.937120787442,-271.5468097371489,69845.66563695342,Wallington,2023-05-31
Equities,CDAY,X_Ceridian,,61.85,12710.57000434036,-60.5501094215516,786148.7547684512,Wallington,2023-05-31
Equities,SEE,X_Sealed Air,,37.66,105498.3501577982,40084.52327274028,3973067.86694268,Wallington,2023-05-31
