FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,AVGO,Broadcom Inc.,,867.43,138922.03787911774,1893835.5028572928,120505143.3174831,LEEDER,2023-06-30
Equities,IP,International Paper,,31.39,174740.29311640788,-31580.450349021456,5485097.800924043,LEEDER,2023-06-30
Equities,MS,Morgan Stanley,,84.62,164792.9407553809,105717.73307586768,13944778.646720331,LEEDER,2023-06-30
Equities,APD,Air Products and Chemicals,,299.53,141261.74761169447,451351.98650548415,42312131.26213084,LEEDER,2023-06-30
Equities,PRU,Prudential Financial,,87.03,225654.24571430028,48193.34844852617,19638689.004515555,LEEDER,2023-06-30
Equities,SHW,Sherwin-Williams,,264.93,142095.83015640287,-855317.7158156818,37645448.28333581,LEEDER,2023-06-30
Equities,CHTR,Charter Communications,,367.37,230564.07064655045,-879726.2365857,84702322.63342324,LEEDER,2023-06-30
Equities,KEY,KeyCorp,,9.24,156706.70064476164,-1471.201611140988,1447969.9139575977,LEEDER,2023-06-30
Equities,KR,Kroger,,46.72,161800.53848118533,-19957.719920596603,7559321.157840978,LEEDER,2023-06-30
Equities,TSN,Tyson Foods,,51.04,233225.57755586904,4053.693625304412,11903833.478451556,LEEDER,2023-06-30
Equities,TRMB,Trimble Inc.,,52.94,165202.11332448316,22232.381706290194,8745799.879398137,LEEDER,2023-06-30
Equities,INTC,Intel,,33.32,121694.4137311859,7792.659611945014,4054857.865523114,LEEDER,2023-06-30
Equities,EMR,Emerson Electric,,89.9,182673.4213762493,41400.39528989424,16422340.581724811,LEEDER,2023-06-30
Equities,OXY,Occidental Petroleum,,58.8,214190.69259541016,-12141.96648426388,12594412.724610116,LEEDER,2023-06-30
Equities,BBY,Best Buy,,81.95,8886.388872553547,7953.931144063737,728239.5681057632,LEEDER,2023-06-30
Equities,PPL,PPL Corporation,,26.46,122959.55367591605,-14081.00758484662,3253509.7902647387,LEEDER,2023-06-30
Equities,PAYX,Paychex,,111.07,67890.67986400898,-9030.246800444746,7540617.812495477,LEEDER,2023-06-30
Equities,VLO,Valero Energy,,116.37,108352.04377957112,112082.1779664684,12608927.334628694,LEEDER,2023-06-30
Equities,C,Citigroup,,45.51,85528.2142719729,18832.01995474425,3892389.031517487,LEEDER,2023-06-30
Equities,FTV,Fortive,,74.77,62636.10737053208,-2078.4441949136576,4683301.748094684,LEEDER,2023-06-30
Equities,ILMN,Illumina,,187.49,22491.37679520268,-525.5638047042612,4216908.23533255,LEEDER,2023-06-30
Equities,IT,Gartner,,350.31,79681.68579010334,-117182.61403843002,27913291.3491311,LEEDER,2023-06-30
Equities,HOLX,Hologic,,80.97,93912.9733122136,-13366.303924006095,7604133.449089936,LEEDER,2023-06-30
Equities,WST,West Pharmaceutical Services,,382.28,149652.8999733274,-859469.8092144583,57209310.6018036,LEEDER,2023-06-30
Equities,ALL,Allstate,,109.04,128404.94222325312,22233.54561864629,14001274.900023522,LEEDER,2023-06-30
Equities,AZO,AutoZone,,2493.36,128612.8071341592,2242072.5184085006,320678028.79602724,LEEDER,2023-06-30
Equities,CHD,Church & Dwight,,99.95,42746.73041630503,73489.62287668195,4272535.705109688,LEEDER,2023-06-30
Equities,MGM,MGM Resorts,,43.92,209546.02656961948,35183.53776466277,9203261.486937689,LEEDER,2023-06-30
Equities,CFG,Citizens Financial Group,,25.74,157343.24595158215,8506.560009328336,4050015.150793724,LEEDER,2023-06-30
Equities,RHI,Robert Half,,74.74,121385.89499118172,81403.80067619086,9072381.791640922,LEEDER,2023-06-30
Equities,GOOG,Alphabet Inc. (Class C),,120.97,116893.52115958018,4164.511196103132,14140609.254674414,LEEDER,2023-06-30
Equities,EQT,EQT,,40.98,112309.34579003902,-95259.50515620658,4602436.990475799,LEEDER,2023-06-30
Equities,REGN,Regeneron,,718.54,121489.58154965816,31786.339887547867,87295123.92669137,LEEDER,2023-06-30
Equities,ABC,AmerisourceBergen,,191.93,179966.66942323186,-68425.37464311213,34541002.86240089,LEEDER,2023-06-30
Equities,MA,Mastercard,,392.73,111525.42622856192,15508.558384352427,43799380.642743126,LEEDER,2023-06-30
Equities,CDW,CDW,,182.97,56338.60383353421,-77410.4009895553,10308274.343421752,LEEDER,2023-06-30
Equities,WRK,WestRock,,28.84,123030.45397084262,-10138.332346204914,3548198.292519101,LEEDER,2023-06-30
Equities,SEDG,SolarEdge,,269.05,183531.6018246668,-393431.9167582072,49379177.470926605,LEEDER,2023-06-30
Equities,BA,Boeing,,211.16,78624.16485930265,51658.67618129573,16602278.651690347,LEEDER,2023-06-30
Equities,ODFL,Old Dominion,,369.75,131384.06606071096,-382161.2247363611,48579258.42594788,LEEDER,2023-06-30
Equities,LNC,Lincoln Financial,,25.31,15796.17588134502,-3335.83838488029,399801.2115568425,LEEDER,2023-06-30
Equities,PCAR,Paccar,,83.38,119043.64432317986,368737.6882910505,9925859.063666737,LEEDER,2023-06-30
Equities,LMT,Lockheed Martin,,460.38,52441.2187197037,-45788.16864592239,24142888.27417719,LEEDER,2023-06-30
Equities,XEL,Xcel Energy,,62.17,44337.27402676752,-17562.699761411415,2756448.326244137,LEEDER,2023-06-30
Equities,AAP,Advance Auto Parts,,70.05,15953.467980725463,-40.17956598035418,1117540.4320498188,LEEDER,2023-06-30
Equities,VRSK,Verisk,,226.03,8232.630777369375,5504.403821726793,1860821.5346088,LEEDER,2023-06-30
Equities,WTW,Willis Towers Watson,,235.5,123222.90933788028,435877.3741987525,29018995.149070807,LEEDER,2023-06-30
Equities,CRM,Salesforce,,211.26,43248.68811125335,77745.34545798006,9136717.850383382,LEEDER,2023-06-30
Equities,DOV,Dover Corporation,,147.65,180882.96352379152,-307052.538298214,26707369.56428782,LEEDER,2023-06-30
Equities,FSLR,First Solar,,190.09,156924.0735720972,-239646.45990088905,29829697.14531996,LEEDER,2023-06-30
