FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,ATO,Atmos Energy,,120.94,1212.9279643643883,91.48354985460615,146691.50801022912,Catalysm,2023-07-31
Equities,MKTX,MarketAxess,,268.5,9280.180854955595,14377.547251698828,2491728.559555578,Catalysm,2023-07-31
Equities,CHD,Church & Dwight,,95.4,7190.471539897876,-1475.21605536612,685970.9849062574,Catalysm,2023-07-31
Equities,WYNN,Wynn Resorts,,108.69,1860.1274431526683,1522.2131741100404,202177.2517962635,Catalysm,2023-07-31
Equities,GOOG,Alphabet Inc. (Class C),,133.11,1751.6394818401666,3166.5071395594423,233160.73142774455,Catalysm,2023-07-31
Equities,NVR,"NVR, Inc.",,6306.44,1890.455893373168,-2994.173868609011,11922046.66420428,Catalysm,2023-07-31
Equities,NEM,Newmont,,42.92,5370.6660683293485,17.7060912173575,230508.98765269565,Catalysm,2023-07-31
Equities,IT,Gartner,,353.59,5276.218266095226,1029.005162382245,1865618.0167086108,Catalysm,2023-07-31
Equities,MA,Mastercard,,394.28,1676.4698222957106,-80.42569385114572,660998.5215347527,Catalysm,2023-07-31
Equities,APH,Amphenol,,88.31,773.416504930469,-182.61264969039556,68300.41155040973,Catalysm,2023-07-31
Equities,MOS,Mosaic Company (The),,40.76,8619.279257384655,6138.507205741799,351321.8225309985,Catalysm,2023-07-31
Equities,RTX,RTX Corporation,,87.32,8788.522577476715,-18938.217244962158,767413.7914652667,Catalysm,2023-07-31
Equities,LMT,Lockheed Martin,,446.37,9334.618470344349,-25087.861565669828,4166693.646607606,Catalysm,2023-07-31
Equities,COF,Capital One,,116.4,7925.161098328844,7556.617096549707,922488.7518454776,Catalysm,2023-07-31
Equities,ODFL,Old Dominion,,419.49,3041.7719114125443,-2718.01135673205,1275992.899118448,Catalysm,2023-07-31
Equities,PXD,Pioneer Natural Resources,,225.67,392.33678748613664,436.9187231852277,88538.64283199645,Catalysm,2023-07-31
Equities,FITB,Fifth Third Bank,,29.1,9300.92602688978,-3049.7490060025084,270656.9473824926,Catalysm,2023-07-31
Equities,DHI,D.R. Horton,,126.76,4024.681505237605,1696.58289169636,510168.6276039189,Catalysm,2023-07-31
Equities,ORCL,Oracle Corporation,,117.23,8048.693493773017,-199.31906057691347,943548.3382750108,Catalysm,2023-07-31
Equities,NSC,Norfolk Southern Railway,,232.22,915.5443985836398,349.4194540976056,212607.72023909283,Catalysm,2023-07-31
Equities,HUM,Humana,,456.83,1512.6154552673956,-1604.4770851420456,691008.1184298043,Catalysm,2023-07-31
Equities,UDR,"UDR, Inc.",,40.88,3705.08573827816,128.84586378168808,151463.90498081117,Catalysm,2023-07-31
Equities,QCOM,Qualcomm,,132.17,2713.403506487576,139.61786240889464,358630.54145246284,Catalysm,2023-07-31
Equities,META,Meta Platforms,,318.6,3368.673287092998,9685.329041454905,1073259.3092678294,Catalysm,2023-07-31
Equities,USB,U.S. Bank,,39.68,7838.071415929626,7034.493839954208,311014.6737840875,Catalysm,2023-07-31
Equities,MO,Altria,,45.42,198.61016053930808,-1.9612901040765227,9020.873491695373,Catalysm,2023-07-31
Equities,ANET,Arista Networks,,155.09,6762.97199776804,2297.809218461713,1048869.3271338453,Catalysm,2023-07-31
Equities,DD,DuPont,,77.63,9956.69794502185,-8395.614731626925,772938.4614720461,Catalysm,2023-07-31
Equities,KMB,Kimberly-Clark,,129.1,8316.5133024294,-10996.01629017356,1073661.8673436353,Catalysm,2023-07-31
Equities,ACN,Accenture,,316.35,2942.1189450133184,-2246.5895497715137,930739.3282549632,Catalysm,2023-07-31
Equities,IDXX,Idexx Laboratories,,554.73,2284.496010116359,-7719.133742951397,1267278.4716918478,Catalysm,2023-07-31
Equities,BR,Broadridge Financial Solutions,,167.92,4623.288512002867,-316.33384220301923,776342.6069355214,Catalysm,2023-07-31
Equities,TJX,TJX Companies,,86.2,1656.7781545840994,479.5748137821207,142814.27692514937,Catalysm,2023-07-31
Equities,FE,FirstEnergy,,38.98,707.4723917089026,-79.7896529840627,27577.27382881302,Catalysm,2023-07-31
Equities,BA,Boeing,,238.85,5878.373054993196,-11530.02527330279,1404049.404185125,Catalysm,2023-07-31
Equities,SPGI,S&P Global,,393.59,8574.0146772049,597.9112345061188,3374646.436801076,Catalysm,2023-07-31
Equities,EA,Electronic Arts,,136.35,735.1687223452834,-924.2858580752884,100240.2552917794,Catalysm,2023-07-31
Equities,TEL,TE Connectivity,,142.84,8653.667473098365,3999.12500249254,1236089.8618573705,Catalysm,2023-07-31
Equities,SBAC,SBA Communications,,218.1,2804.996016903516,-2562.909936001592,611769.6312866567,Catalysm,2023-07-31
Equities,DFS,Discover Financial,,104.72,9137.623026557392,-8680.741875229458,956891.88334109,Catalysm,2023-07-31
Equities,ALGN,Align Technology,,377.89,3017.846535142937,-14039.17449499301,1140414.0271651645,Catalysm,2023-07-31
Equities,PSA,Public Storage,,281.75,1797.2716398172065,-325.81177006708344,506381.2845184979,Catalysm,2023-07-31
Equities,REGN,Regeneron,,741.91,3217.283745726133,-3872.534819247249,2386934.9837916754,Catalysm,2023-07-31
Equities,ETSY,Etsy,,101.65,235.89305140662483,-279.90130318638006,23978.528675483416,Catalysm,2023-07-31
Equities,WMT,Walmart,,159.29,4856.457549376052,216.87910525876364,773585.1230401113,Catalysm,2023-07-31
Equities,DAL,Delta Air Lines,,46.26,5502.032465578124,217.78098363994488,254524.021857644,Catalysm,2023-07-31
Equities,MNST,Monster Beverage,,57.49,6674.608920856803,36.959619322382366,383723.2668600576,Catalysm,2023-07-31
Equities,PWR,Quanta Services,,201.62,630.6158126304852,-541.6075054072339,127144.7601425584,Catalysm,2023-07-31
Equities,ETR,Entergy,,102.7,9243.761115522972,-1779.8888201447885,949334.2665642094,Catalysm,2023-07-31
Equities,KR,Kroger,,48.35,3735.430598221752,-558.0136183611635,180608.0694240217,Catalysm,2023-07-31
Equities,IEX,IDEX Corporation,,225.81,5653.976655585533,-9664.54054785178,1276724.4685977693,Catalysm,2023-07-31
Equities,ZTS,Zoetis,,188.09,2434.165812503077,-648.9113411013564,457842.2476737038,Catalysm,2023-07-31
Equities,BG,Bunge Limited,,108.02,8801.880092074422,-3341.533246069361,950779.087545879,Catalysm,2023-07-31
Equities,SRE,Sempra Energy,,74.51,5403.393620066046,-4125.798218936717,402606.8586311212,Catalysm,2023-07-31
Equities,ACGL,Arch Capital Group,,77.69,7695.818808380948,-538.9241874870669,597888.1632231158,Catalysm,2023-07-31
Equities,TGT,Target Corporation,,135.31,2630.590197926396,875.0095928909805,355945.1596814206,Catalysm,2023-07-31
Equities,ADSK,Autodesk,,211.99,6594.73951661851,4298.698938111736,1398018.830127958,Catalysm,2023-07-31
Equities,EPAM,EPAM Systems,,236.81,2093.7986180525004,3061.5324999611544,495832.45074101264,Catalysm,2023-07-31
Government Bond,NL0012818504,NETHERLANDS GOVERNMENT 0.75 % 07/15/2028 144A ,BFM0LR6,106.9,3698.3155214265535,-1.0430382211919444,395349.9292404987,Catalysm,2023-07-31
Government Bond,ES0000012852,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,124.46,3195.428075189447,-33.24976695493925,397702.9782380786,Catalysm,2023-07-31
Government Bond,US912828WU04,TSY INFL IX N/B 0.125% 07/15/2024 ,BZ56VY8,124.2,11655.375647455125,56.67119439605932,1447597.6554139266,Catalysm,2023-07-31
Government Bond,CA135087G997,CANADIAN GOVERNMENT RRB 0.5% 12/01/2050,BG7PCR0,131.83,2229.867801288568,24.47004272352688,293963.47224387195,Catalysm,2023-07-31
Government Bond,GB00B6460505,UNITED KINGDOM GILT 4.25% 12/07/2040 REGS,B646050,152.54,11564.082977672304,-144.65290546417327,1763985.2174141333,Catalysm,2023-07-31
Government Bond,GB00BYY5F144,UNITED KINGDOM I/L GILT 0.125% 03/22/2026 REGS,BYY5F14,139.84,4916.227453448887,-458.17083541589454,687485.2470902924,Catalysm,2023-07-31
Government Bond,ES00000128C6,BONOS Y OBLIG DEL ESTADO 2.9% 10/31/2046 144A,BYZ0LZ4,135.02,16590.23111608,257.2943485309609,2240013.005293122,Catalysm,2023-07-31
Government Bond,ES00000121S7,BONOS Y OBLIG DEL ESTADO 4.7% 07/30/2041 144A,B4KCFS6,164.12,2535.098927511386,25.50556847801173,416060.4359831687,Catalysm,2023-07-31
Government Bond,GB00BD9MZZ71,UNITED KINGDOM I/L GILT 0.125% 11/22/2065 REGS,BD9MZZ7,326.02,3506.9545170025262,-143.62148905054687,1143337.3116331636,Catalysm,2023-07-31
Government Bond,AT0000A1K9C8,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,BYN4DC9,105.38,17252.03323929445,-18.93262817902177,1818019.2627568487,Catalysm,2023-07-31
