FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,TJX,TJX Companies,,88.7,38957.131581171656,-5221.881061036402,3455497.571249926,Applebead,2023-08-31
Equities,SYY,Sysco,,70.92,168284.66426737208,-65275.834098981606,11934748.389842028,Applebead,2023-08-31
Equities,PNR,Pentair,,72.25,324443.8042333776,-159603.89358554216,23441064.855861533,Applebead,2023-08-31
Equities,AXP,American Express,,154.01,310117.0724528276,-172946.32715922472,47761130.32845997,Applebead,2023-08-31
Equities,COP,ConocoPhillips,,116.83,275678.186646286,-769.6736206327066,32207482.545885596,Applebead,2023-08-31
Equities,DGX,Quest Diagnostics,,127.19,199213.9185381638,-193914.711440404,25338018.29886905,Applebead,2023-08-31
Equities,WYNN,Wynn Resorts,,96.73,71791.89772278156,-249057.7754449492,6944430.266724661,Applebead,2023-08-31
Equities,STT,State Street Corporation,,65.62,103751.91966725788,16187.831289212874,6808200.968565462,Applebead,2023-08-31
Equities,META,Meta Platforms,,326.12,289932.7615249017,180087.9299371176,94552872.18850096,Applebead,2023-08-31
Equities,ANSS,Ansys,,296.03,272361.2899933344,-1799333.2111561778,80627112.67672677,Applebead,2023-08-31
Equities,MHK,Mohawk Industries,,102.39,195727.91733287196,-108107.49593489588,20040581.45571276,Applebead,2023-08-31
Equities,GOOG,Alphabet Inc. (Class C),,132.91,85643.06910286387,1730.0777656765897,11382820.314461635,Applebead,2023-08-31
Equities,TEL,TE Connectivity,,123.43,10675.845724785457,15971.360583409834,1317719.637810269,Applebead,2023-08-31
Equities,NWL,Newell Brands,,9.06,98388.5731011134,23385.165779520943,891400.4722960875,Applebead,2023-08-31
Equities,MMC,Marsh McLennan,,195.87,122377.15624768769,-93331.86699505456,23970013.59423459,Applebead,2023-08-31
Equities,SO,Southern Company,,68.53,249660.77084181577,40586.40066923344,17109252.625789635,Applebead,2023-08-31
Equities,CRL,Charles River Laboratories,,189.62,275382.38554537395,1073485.065993909,52218007.94711381,Applebead,2023-08-31
Equities,GWW,W. W. Grainger,,742.12,29759.4474205729,-23649.23472239036,22085081.11975556,Applebead,2023-08-31
Equities,QRVO,Qorvo,,101.41,277944.7995044159,213798.03630875188,28186382.11774281,Applebead,2023-08-31
Equities,MCO,Moody's Corporation,,345.1,175751.42672192064,171583.2263157071,60651817.361734815,Applebead,2023-08-31
Equities,EBAY,eBay,,46.17,163778.02267287765,15771.093532777775,7561631.306806761,Applebead,2023-08-31
Equities,REGN,Regeneron,,836.56,169798.16583469912,-205937.93434461756,142046353.61067587,Applebead,2023-08-31
Equities,AVY,Avery Dennison,,180.83,154264.38833494953,62748.97112817346,27895629.342608925,Applebead,2023-08-31
Equities,BK,BNY Mellon,,42.21,201737.1947623846,122758.82828160346,8515326.990920255,Applebead,2023-08-31
Equities,IFF,International Flavors & Fragrances,,66.27,231549.28296375452,-126870.13655738773,15344770.982008014,Applebead,2023-08-31
Equities,CPRT,Copart,,43.81,125846.70061569625,13148.190147465446,5513343.953973653,Applebead,2023-08-31
Equities,LEN,Lennar,,115.65,302984.299401092,324902.9499935837,35040134.22573629,Applebead,2023-08-31
Equities,TPR,"Tapestry, Inc.",,32.01,230177.6688717224,-209071.63791562544,7367987.180583832,Applebead,2023-08-31
Equities,ACGL,Arch Capital Group,,79.01,183467.3625717453,6823.2579197543455,14495756.316793596,Applebead,2023-08-31
Equities,HAL,Halliburton,,37.18,48500.62030981237,-13471.292719460173,1803253.063118824,Applebead,2023-08-31
Equities,PTC,PTC,,143.74,25968.889232993934,1310.2174298600394,3732768.138350548,Applebead,2023-08-31
Equities,ROK,Rockwell Automation,,311.24,257338.7293748329,-51259.271504204575,80094106.130623,Applebead,2023-08-31
Equities,LLY,Eli Lilly and Company,,583.21,57837.55463203877,-1067060.1584797138,33731440.236951336,Applebead,2023-08-31
Equities,LYV,Live Nation Entertainment,,86.59,25447.334082170422,-660.8053124511231,2203484.6581751374,Applebead,2023-08-31
Equities,AZO,AutoZone,,2451.69,264917.102943777,-1066329.0001878596,649494612.1162286,Applebead,2023-08-31
Equities,EW,Edwards Lifesciences,,77.06,219351.2852828137,30395.05056362048,16903210.043893624,Applebead,2023-08-31
Equities,CAG,Conagra Brands,,30.91,136394.2674037096,22833.65074543853,4215946.805448663,Applebead,2023-08-31
Equities,CPB,Campbell Soup Company,,42.83,150229.82588688214,70654.6880694897,6434343.442735162,Applebead,2023-08-31
Equities,ENPH,Enphase,,89.12,94430.91471958128,166907.4907181291,8415683.119809084,Applebead,2023-08-31
Equities,DRI,Darden Restaurants,,155.38,170319.40450788254,-620040.734870555,26464229.07243479,Applebead,2023-08-31
Equities,IEX,IDEX Corporation,,214.8,309696.8956393709,513347.8095927042,66522893.18333687,Applebead,2023-08-31
Equities,ARE,Alexandria Real Estate Equities,,112.91,195562.08304947903,363135.0102028603,22080914.79711668,Applebead,2023-08-31
Equities,WAT,Waters Corporation,,265.64,137688.87193665985,227582.9741933923,36575671.94125432,Applebead,2023-08-31
Equities,LYB,LyondellBasell,,96.19,56430.49504431951,9177.429591634762,5428049.318313094,Applebead,2023-08-31
Equities,TFC,Truist,,28.86,144728.38957712363,-110509.71946179272,4176861.323195788,Applebead,2023-08-31
Equities,SLB,Schlumberger,,55.72,177561.8898081733,-33595.26191068074,9893748.500111416,Applebead,2023-08-31
Equities,DAL,Delta Air Lines,,42.17,32185.986979481146,-21467.51699120661,1357283.07092472,Applebead,2023-08-31
Equities,HOLX,Hologic,,78.65,292174.26715692,-7374.398455295936,22979506.111891758,Applebead,2023-08-31
Equities,SEDG,SolarEdge,,139.82,164011.3721861506,347294.08060416847,22932070.059067577,Applebead,2023-08-31
Equities,EXR,Extra Space Storage,,128.98,179904.3518073715,-275660.7276298075,23204063.296114776,Applebead,2023-08-31
Equities,BR,Broadridge Financial Solutions,,184.32,104881.74484228207,-197522.9785073083,19331803.209329437,Applebead,2023-08-31
Equities,ODFL,Old Dominion,,372.56,106505.27513580432,47032.26955247002,39679605.30459525,Applebead,2023-08-31
Equities,XYL,Xylem Inc.,,101.35,60263.25025057352,-20540.664750636846,6107680.412895625,Applebead,2023-08-31
Equities,PEP,PepsiCo,,185.49,29915.998359857294,10154.100687378052,5549118.53576993,Applebead,2023-08-31
Equities,CSCO,Cisco,,56.07,136266.51592967086,-29695.67717609952,7640463.548176645,Applebead,2023-08-31
Equities,FOXA,Fox Corporation (Class A),,32.12,167791.5921041542,-10062.680846418356,5389465.938385433,Applebead,2023-08-31
Equities,BBY,Best Buy,,73.56,128565.87649911593,177198.99544756857,9457305.875274967,Applebead,2023-08-31
Government Bond,NL0011819040,NETHERLANDS GOVERNMENT 0.5 % 07/15/2026 144A ,BZ571P2,104.45,27682.435498939925,-68.45863225234618,2891430.3878642754,Applebead,2023-08-31
Government Bond,SE0008014062,SWEDEN I/L BOND 0.125 % 06/01/2026,BDCRN33,122.42,7519.320114651705,78.9406653145418,920515.1684356616,Applebead,2023-08-31
Government Bond,ES0000012852,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,124.53,3645.017188958408,4.676802991875888,453913.99054099055,Applebead,2023-08-31
Government Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,2805872,231.8,1873.3908667022251,-0.989854273990509,434252.0029015759,Applebead,2023-08-31
Government Bond,GB00B421JZ66,UNITED KINGDOM I/L GILT 0.5% 03/22/2050 REGS,B421JZ6,311.33,3621.0062024731183,-93.32964183622246,1127327.861015956,Applebead,2023-08-31
Government Bond,AU0000XCLWV6,AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,B3SSHY9,161.21,2406.7187144869863,12.767993180164904,387987.1239624471,Applebead,2023-08-31
Government Bond,GB00BNNGP882,UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,BNNGP88,212.81,1510.0953669020118,-38.57588024515878,321363.3950304172,Applebead,2023-08-31
Government Bond,GB00BYMWG366,UNITED KINGDOM I/L GILT 0.125% 03/22/2046 REGS,BYMWG36,219.77,4397.111836067491,15.801982338191564,966353.2682125524,Applebead,2023-08-31
Government Bond,US912810FH69,TSY INFL IX N/B 3.875% 04/15/2029,2407096,234.54,7615.50626370595,-195.79522737943847,1786140.8390895934,Applebead,2023-08-31
Government Bond,BE0000331406,BELGIUM KINGDOM 3.75% 6/22/2045 REGS,BDT2DG4,163.87,11332.913424645269,-60.987060141568,1857124.52289662,Applebead,2023-08-31
Government Bond,US912828ZZ63,TSY INFL IX N/B 0.125% 07/15/2030 ,BLCGQJ3,120.72,20624.4402155254,450.1265003880725,2489782.422818226,Applebead,2023-08-31
Government Bond,FR0014001N38,FRANCE (GOVT OF) 0.1% 07/25/2031 0.0% 144A,BN4Q1D4,122.6,2648.7611435342787,-0.0,324738.11619730253,Applebead,2023-08-31
Government Bond,US912810RW09,TSY INFL IX N/B 0.875% 02/15/2047,BF0SHC9,154.5,6503.489645553182,-111.68980328034726,1004789.1502379666,Applebead,2023-08-31
Government Bond,US91282CDC29,TSY INFL IX N/B 0.125% 10/15/2026 ,BMHXXY0,110.29,12502.087768899706,187.8648043518777,1378855.2600319486,Applebead,2023-08-31
Government Bond,JP1300521G93,JAPAN (30 YEAR ISSUE) 0.5 % 09/20/2046 ,BD8CPW5,98.14,5817508.048253161,127765.46821901732,570930239.8555652,Applebead,2023-08-31
Government Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,B03KSM4,179.33,3979.362819873436,1.9642845989584528,713619.1344879033,Applebead,2023-08-31
Government Bond,AU3TB0000135,AUSTRALIAN GOVERNMENT 4.8% 04/21/2027 REGS,B75M0X2,117.42,34250.64572867769,-263.2561111109012,4021710.821461335,Applebead,2023-08-31
Government Bond,ES00000127C8,SPAIN I/L BOND 1 % 11/30/2030 144A ,BWH62M0,132.34,4726.350413763144,0.6378659460748994,625485.2137574144,Applebead,2023-08-31
Government Bond,AU0000XCLWP8,AUSTRALIAN GOVERNMENT 3% 09/20/2025 REGS,B4RNSX8,149.67,4802.568637422445,128.36886048606166,718800.4479630173,Applebead,2023-08-31
Government Bond,ES00000127G9,BONOS Y OBLIG DEL ESTADO 2.2% 10/31/2025 144A,BYYTKZ5,109.32,27998.771104799715,-33.11323555424486,3060825.6571767046,Applebead,2023-08-31
Government Bond,JP1103451GC0,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2026 ,BYYNK79,100.91,5127332.02690216,100937.94208604084,517399074.8346969,Applebead,2023-08-31
CASH,USDCURR,CASH,,,,,249645910.94276345,Applebead,2023-08-31
