FINANCIAL TYPE,SYMBOL,SECURITY NAME,SEDOL,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,ATO,Atmos Energy,,116.85,1170.984712138657,-857.7395080162075,136829.56361340205,CATALYSM,2023-08-31
Equities,MKTX,MarketAxess,,237.28,9284.956084375664,745.4133124722149,2203134.379700657,CATALYSM,2023-08-31
Equities,CHD,Church & Dwight,,98.44,7148.941812694088,631.2518534975736,703741.8320416061,CATALYSM,2023-08-31
Equities,WYNN,Wynn Resorts,,96.73,1940.6466724254456,4815.049910512096,187718.75262371337,CATALYSM,2023-08-31
Equities,GOOG,Alphabet Inc. (Class C),,132.91,1782.3256640240938,30.686182183925517,236888.9040054423,CATALYSM,2023-08-31
Equities,NVR,"NVR, Inc.",,6026.01,1941.188193287515,71134.29432490186,11697619.4646325,CATALYSM,2023-08-31
Equities,NEM,Newmont,,37.75,5378.293307622979,197.1641357403546,203030.57236276747,CATALYSM,2023-08-31
Equities,IT,Gartner,,348.01,5294.367419836093,506.36138937019393,1842492.8057771588,CATALYSM,2023-08-31
Equities,MA,Mastercard,,407.85,1716.6408244273969,-2725.6024946349216,700131.9602427138,CATALYSM,2023-08-31
Equities,APH,Amphenol,,85.85,755.828563719382,-216.331676896371,64887.88219530894,CATALYSM,2023-08-31
Equities,MOS,Mosaic Company (The),,38.58,8554.296753936338,-708.309287586652,330024.7687668639,CATALYSM,2023-08-31
Equities,RTX,RTX Corporation,,83.1,9094.714882613787,6460.65763839226,755770.8067452058,CATALYSM,2023-08-31
Equities,LMT,Lockheed Martin,,438.83,9696.580860385324,13645.982104544972,4255150.578962891,CATALYSM,2023-08-31
Equities,COF,Capital One,,97.28,8202.708590834764,26533.540283565933,797959.4917164058,CATALYSM,2023-08-31
Equities,ODFL,Old Dominion,,372.56,2871.0451523528773,-40061.03401335084,1069636.581960588,CATALYSM,2023-08-31
Equities,PXD,Pioneer Natural Resources,,225.68,401.86755465855634,-0.4765383586205516,90693.469735343,CATALYSM,2023-08-31
Equities,FITB,Fifth Third Bank,,23.88,9257.446824582545,-1134.8071802188829,221067.83017103112,CATALYSM,2023-08-31
