FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,HRL,SEC-Hormel Foods,,40.15,14716.915072252888,1029.4055377417762,590884.1401509534,Gohen,2023-08-31
Equities,CTSH,SEC-Cognizant,,70.47,46386.23205863265,-6250.501789569487,3268837.773171843,Gohen,2023-08-31
Equities,MRNA,SEC-Moderna,,106.01,36149.34389420979,6914.924500014011,3832191.94622518,Gohen,2023-08-31
Equities,PANW,SEC-Palo Alto Networks,,218.88,38912.315937897,41143.9896337331,8517127.712486895,Gohen,2023-08-31
Equities,LVS,SEC-Las Vegas Sands,,54.13,22831.66156120637,23981.675828912645,1235877.840308101,Gohen,2023-08-31
Equities,CB,SEC-Chubb Limited,,202.58,28618.50038098476,3455.016080851259,5797535.807179893,Gohen,2023-08-31
Equities,AAP,SEC-Advance Auto Parts,,62.71,3667.455080122091,3865.522835601766,229986.10807445637,Gohen,2023-08-31
Equities,ROL,"SEC-Rollins, Inc.",,41.0,5695.737005257456,-231.5317092637129,233525.2172155557,Gohen,2023-08-31
Equities,DD,SEC-DuPont,,74.1,56796.93013440543,29401.25052883572,4208652.522959442,Gohen,2023-08-31
Equities,DGX,SEC-Quest Diagnostics,,127.19,59307.97073708113,-4897.356555961685,7543380.798049348,Gohen,2023-08-31
Equities,TFX,SEC-Teleflex,,220.07,8382.80585895881,30426.89088464149,1844804.0853810653,Gohen,2023-08-31
Equities,MGM,SEC-MGM Resorts,,43.26,78935.36054694558,95838.47934719536,3414743.697260865,Gohen,2023-08-31
Equities,IPG,SEC-Interpublic Group of Companies (The),,31.17,70609.30221509705,-14874.23732385072,2200891.950044575,Gohen,2023-08-31
Equities,STX,SEC-Seagate Technology,,66.86,35612.65558049861,3116.4195046704185,2381062.152112137,Gohen,2023-08-31
Equities,CPT,SEC-Camden Property Trust,,111.66,70695.48770925555,-24844.612960528608,7893858.157615475,Gohen,2023-08-31
Equities,HPE,SEC-Hewlett Packard Enterprise,,16.6,72058.74737268232,3323.9391858223653,1196175.2063865266,Gohen,2023-08-31
Equities,NTRS,SEC-Northern Trust,,67.43,6983.812940214838,-16616.53929170849,470918.50655868655,Gohen,2023-08-31
Equities,NTAP,SEC-NetApp,,75.29,5237.859705161129,2148.5519086358595,394358.4572015814,Gohen,2023-08-31
Equities,KR,SEC-Kroger,,47.86,57025.71889663766,3516.548027046042,2729250.9063930786,Gohen,2023-08-31
Equities,VTRS,SEC-Viatris,,10.64,48226.76450553682,-387.98760928550496,513132.7743389118,Gohen,2023-08-31
Equities,CFG,SEC-Citizens Financial Group,,26.86,39142.303802656665,27946.76314512257,1051362.280139358,Gohen,2023-08-31
Equities,ADBE,SEC-Adobe Inc.,,520.17,27066.38206948892,-171736.66307999517,14079119.961086052,Gohen,2023-08-31
Equities,CHTR,SEC-Charter Communications,,459.12,28658.25062976882,338260.04505888594,13157576.02913946,Gohen,2023-08-31
Equities,ATO,SEC-Atmos Energy,,116.85,42091.37655859986,-261.15553720362607,4918377.350872394,Gohen,2023-08-31
Equities,AMT,SEC-American Tower,,173.49,36205.70171299866,7190.214458260303,6281327.190188139,Gohen,2023-08-31
Equities,REG,SEC-Regency Centers,,61.11,4504.728419894936,-993.7562196015062,275283.95373977954,Gohen,2023-08-31
Equities,PHM,SEC-PulteGroup,,80.79,9000.463570834203,-1974.9218626650584,727147.4518876954,Gohen,2023-08-31
Equities,WMT,SEC-Walmart,,157.67,72574.96101073777,-20956.187266653214,11442894.102563024,Gohen,2023-08-31
Equities,SPG,SEC-Simon Property Group,,113.56,25136.18673109672,-7115.474397725834,2854465.365183344,Gohen,2023-08-31
Equities,RJF,SEC-Raymond James,,95.86,87609.81811813675,-132637.75779556367,8398277.164804589,Gohen,2023-08-31
Equities,RTX,SEC-RTX Corporation,,83.1,46702.19557460852,33236.10931505518,3880952.452249968,Gohen,2023-08-31
Equities,META,SEC-Meta Platforms,,326.12,85743.62487714575,-15740.738787729708,27962710.94493477,Gohen,2023-08-31
Equities,AJG,SEC-Arthur J. Gallagher & Co.,,230.61,2459.1194632383144,-9820.146076529783,567097.5394173877,Gohen,2023-08-31
Equities,NEM,SEC-Newmont,,37.75,68373.66548540714,6537.225190414163,2581105.8720741197,Gohen,2023-08-31
Equities,LYV,SEC-Live Nation Entertainment,,86.59,86864.54591978042,4444.1137871336905,7521601.031193786,Gohen,2023-08-31
Equities,AOS,SEC-A. O. Smith,,71.45,13418.736698501967,-311.92254045843646,958768.7371079656,Gohen,2023-08-31
Equities,ABC,SEC-AmerisourceBergen,,179.54,89047.27225044782,17490.981812074846,15987547.2598454,Gohen,2023-08-31
Equities,PFE,SEC-Pfizer,,35.48,69526.42270014486,5124.727379455126,2466797.477401139,Gohen,2023-08-31
Equities,TRV,SEC-Travelers Companies (The),,163.68,64346.83937781648,20714.59808494033,10532290.669361,Gohen,2023-08-31
Equities,LH,SEC-LabCorp,,209.15,80324.1011390801,13073.970739817543,16799785.753238603,Gohen,2023-08-31
Equities,PNW,SEC-Pinnacle West,,78.37,69063.6290796861,1356.6795883076777,5412516.610975,Gohen,2023-08-31
Equities,KMI,SEC-Kinder Morgan,,17.35,300.0754074875112,5.395961373401739,5206.308319908319,Gohen,2023-08-31
Equities,PRU,SEC-Prudential Financial,,94.4,45966.93588235615,-182.35351685779565,4339278.74729442,Gohen,2023-08-31
Equities,LIN,SEC-Linde plc,,387.95,73322.90121221764,35955.01733861604,28445619.52527983,Gohen,2023-08-31
Equities,ALGN,SEC-Align Technology,,318.41,35199.17505148011,-484360.81641377567,11207769.328141782,Gohen,2023-08-31
Equities,WHR,SEC-Whirlpool Corporation,,132.87,2344.2454411112267,-434.2429892808315,311479.8917604487,Gohen,2023-08-31
Government Bond,FR0013410552,SEC-FRANCE (GOVT OF) 0.1% 03/01/2029 0.0% REGS,FR0013410552,120.2,3251.2069445288626,-6.890437610734694,390795.0747323693,Gohen,2023-08-31
Government Bond,CA135087G997,SEC-CANADIAN GOVERNMENT RRB 0.5% 12/01/2050,CA135087G997,131.54,2796.8889199051114,9.982741991046804,367902.7685243184,Gohen,2023-08-31
Government Bond,GB00BNNGP882,SEC-UNITED KINGDOM I/L GILT 0.125% 03/22/2051 REGS,GB00BNNGP882,212.81,1531.0811040141512,61.47533958465119,325829.3697452515,Gohen,2023-08-31
Government Bond,AU000XCLWAF4,SEC-AUSTRALIAN GOVERNMENT 2% 08/21/2035 REGS,AU000XCLWAF4,155.53,2058.694945495473,-2.447341075218448,320188.8248729109,Gohen,2023-08-31
Government Bond,GB00B128DH60,SEC-UNITED KINGDOM I/L GILT 1.25% 11/22/2027 REGS,GB00B128DH60,207.74,4658.552782886751,127.82992505628307,967767.7551168936,Gohen,2023-08-31
Government Bond,FR0000188799,SEC-FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,FR0000188799,209.31,3083.496691044293,-0.0,645406.692402481,Gohen,2023-08-31
Government Bond,DE0001030575,SEC-DEUTSCHLAND I/L BOND 0.1 % 4/15/2046 REGS,DE0001030575,181.37,3451.721339725297,-50.87826997038326,626038.6993859771,Gohen,2023-08-31
Government Bond,US912828B253,SEC-TSY INFL IX N/B 0.625% 01/15/2024,US912828B253,126.49,1774.1753488833144,-7.891486857622736,224415.43988025043,Gohen,2023-08-31
Government Bond,SE0005703550,SEC-SWEDEN I/L BOND 1% 06/01/2025 144A ,SE0005703550,123.1,10418.423705387944,28.907710860565206,1282507.9581332558,Gohen,2023-08-31
Government Bond,GB00B0CNHZ09,SEC-UNITED KINGDOM I/L GILT 1.25% 11/22/2055 REGS,GB00B0CNHZ09,451.06,2928.2378570610736,-297.8833112949372,1320810.967805968,Gohen,2023-08-31
Government Bond,GB00B3Y1JG82,SEC-UNITED KINGDOM I/L GILT 0.125% 03/22/2029 REGS,GB00B3Y1JG82,165.49,5267.988564741716,82.0731448726405,871799.4275791066,Gohen,2023-08-31
Government Bond,IT0004735152,SEC-BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,IT0004735152,140.55,4009.064012962492,-19.47838171954427,563473.9470218782,Gohen,2023-08-31
Government Bond,US912810SG40,SEC-TSY INFL IX N/B 1% 02/15/2049,US912810SG40,155.7,5107.862299736908,-198.61902690626695,795294.1600690365,Gohen,2023-08-31
Government Bond,GB00BN65R313,SEC-UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,GB00BN65R313,146.61,7465.319023756561,68.51909943131355,1094490.4220729496,Gohen,2023-08-31
Government Bond,CA135087VS05,SEC-CANADIAN GOVERNMENT RRB 4.3% 12/01/2026,CA135087VS05,206.66,1798.4313178702305,46.13283001299877,371663.8161510618,Gohen,2023-08-31
Government Bond,GB00BD9MZZ71,SEC-UNITED KINGDOM I/L GILT 0.125% 11/22/2065 REGS,GB00BD9MZZ71,325.74,3145.446248956023,167.4218806716533,1024597.6611349348,Gohen,2023-08-31
Government Bond,FR0013519253,SEC-FRANCE (GOVT OF) 0.1% 03/01/2026 0.0% 144A,FR0013519253,113.93,1777.415071023564,6.2564425101901495,202500.89904171467,Gohen,2023-08-31
Government Bond,NL0009446418,SEC-NETHERLANDS GOVERNMENT 3.75 % 01/15/2042 144A ,NL0009446418,170.74,9179.866915211396,27.91484954277301,1567370.4771031938,Gohen,2023-08-31
Government Bond,CA135087K940,SEC-CANADIAN GOVERNMENT 0.5% 09/01/2025,CA135087K940,97.76,40495.03182915443,38.26139370994943,3958794.3116181376,Gohen,2023-08-31
Government Bond,AU0000XCLWV6,SEC-AUSTRALIAN GOVERNMENT 2.5% 09/20/2030 REGS,AU0000XCLWV6,161.21,2467.587772798358,-34.4902041221224,397799.8248528233,Gohen,2023-08-31
Government Bond,DK0009923807,SEC-KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,DK0009923807,104.61,98546.2394753359,157.28053834665025,10308922.111514889,Gohen,2023-08-31
Government Bond,US912810QF84,SEC-TSY INFL IX N/B 2.125% 02/15/2040,US912810QF84,195.76,4970.561883767647,167.71998685100277,973037.1943663544,Gohen,2023-08-31
Government Bond,BE0000331406,SEC-BELGIUM KINGDOM 3.75% 6/22/2045 REGS,BE0000331406,163.87,13513.698846836647,48.067018256035695,2214489.8300311216,Gohen,2023-08-31
Government Bond,JP1400131L54,SEC-JAPAN (40 YEAR ISSUE) 0.5 % 03/20/2060 ,JP1400131L54,92.7,1230580.396726117,15960.770341764275,114074802.77651104,Gohen,2023-08-31
CASH,USDCURR,SEC-CASH,,,,,26278591.94237232,Gohen,2023-08-31
