FINANCIAL TYPE,SYMBOL,SECURITY NAME,ISIN,PRICE,QUANTITY,REALISED P/L,MARKET VALUE,FUND,DATETIME
Equities,TAP,Molson Coors Beverage Company,,65.15,9023.760238375417,-3451.2820549714274,587897.9795301583,VIRTOUS,2023-08-31
Equities,VRSN,Verisign,,207.48,9537.8527080855,-3617.725020482181,1978913.6798735796,VIRTOUS,2023-08-31
Equities,TDY,Teledyne Technologies,,398.02,1434.5451831382863,-3684.098246659456,570977.6737927007,VIRTOUS,2023-08-31
Equities,ADI,Analog Devices,,174.53,3076.9235936262744,18304.32648763076,537015.4747955936,VIRTOUS,2023-08-31
Equities,MA,Mastercard,,407.85,460.5653028707746,421.9929011674119,187841.55877584545,VIRTOUS,2023-08-31
Equities,WMB,Williams Companies,,35.17,703.4021250606169,99.81997221424248,24738.652738381898,VIRTOUS,2023-08-31
Equities,VFC,VF Corporation,,18.77,5485.103129396628,-121.40853887676629,102955.38573877473,VIRTOUS,2023-08-31
Equities,VZ,Verizon,,34.59,3432.8170581333,246.7067317068145,118741.14204083083,VIRTOUS,2023-08-31
Equities,NDSN,Nordson Corporation,,237.17,4717.998871317732,-14447.79053552253,1118967.7923104265,VIRTOUS,2023-08-31
Equities,KR,Kroger,,47.86,3739.280326335562,-359.3936594540788,178961.95641842,VIRTOUS,2023-08-31
Equities,O,Realty Income,,56.15,9368.866659177827,2048.4951394916425,526061.862912835,VIRTOUS,2023-08-31
Equities,NTAP,NetApp,,75.29,1787.483563677422,-36.25078506712378,134579.6375092731,VIRTOUS,2023-08-31
Equities,NUE,Nucor,,159.54,7332.925690440678,1711.4214135284346,1169894.9646529057,VIRTOUS,2023-08-31
Equities,MOS,Mosaic Company (The),,38.58,842.840625028774,7.173811859687009,32516.791313610094,VIRTOUS,2023-08-31
Equities,BAC,Bank of America,,27.71,1242.477888182974,-337.9674907802016,34429.06228155021,VIRTOUS,2023-08-31
Equities,DOV,Dover Corporation,,141.44,2491.8860735111334,904.5597584935564,352452.3662374147,VIRTOUS,2023-08-31
Equities,GD,General Dynamics,,216.74,6548.903741182579,-1719.2112518010392,1419409.3968639122,VIRTOUS,2023-08-31
Equities,FOXA,Fox Corporation (Class A),,32.12,1715.534837759885,-10.044488362348066,55102.97898884751,VIRTOUS,2023-08-31
Equities,ADSK,Autodesk,,218.57,262.44304744673417,188.814728147002,57362.176880432686,VIRTOUS,2023-08-31
Equities,BXP,Boston Properties,,64.86,3064.978209658077,-181.46568441505227,198794.4866784229,VIRTOUS,2023-08-31
Equities,GPN,Global Payments,,115.13,9307.477915947327,368.7102362644149,1071569.9324630157,VIRTOUS,2023-08-31
Equities,AES,AES Corporation,,17.55,5008.620520119747,4671.182180232689,87901.29012810157,VIRTOUS,2023-08-31
Equities,BLK,BlackRock,,658.12,7677.610896601786,-99686.780195775,5052789.283271568,VIRTOUS,2023-08-31
Equities,ALL,Allstate,,105.21,8492.802729316292,-10020.780230448316,893527.7751513671,VIRTOUS,2023-08-31
Equities,TRV,Travelers Companies (The),,163.68,1155.5595888022613,-611.9697539282874,189141.9934951541,VIRTOUS,2023-08-31
Equities,VRTX,Vertex Pharmaceuticals,,364.77,7100.382301047673,-3926.9780129982287,2590006.45195316,VIRTOUS,2023-08-31
Equities,MAR,Marriott International,,194.9,32.61780878588661,-20.639517423837894,6357.2109323693,VIRTOUS,2023-08-31
Equities,SNA,Snap-on,,264.09,8845.389000741216,-5142.023804055479,2335978.7812057477,VIRTOUS,2023-08-31
Equities,CSGP,CoStar Group,,87.2,5249.542131987416,270.4040041673399,457760.07390930265,VIRTOUS,2023-08-31
Equities,AON,Aon,,322.54,4394.519189754711,2763.9446614414305,1417408.2194634846,VIRTOUS,2023-08-31
Equities,ABBV,AbbVie,,138.83,565.1318375741981,123.28343764147532,78457.25301042593,VIRTOUS,2023-08-31
Equities,WHR,Whirlpool Corporation,,132.87,6760.363363334747,-2832.973020691498,898249.4800862878,VIRTOUS,2023-08-31
Equities,DVA,DaVita Inc.,,105.72,798.859893145867,-394.7465662799498,84455.46790338105,VIRTOUS,2023-08-31
Equities,BMY,Bristol Myers Squibb,,60.24,4102.624024810632,1796.6795348893102,247142.0712545925,VIRTOUS,2023-08-31
Equities,VTRS,Viatris,,10.64,4369.009378040809,-261.0283585850441,46486.25978235421,VIRTOUS,2023-08-31
Equities,WM,Waste Management,,159.9,6973.807301336178,-5222.286253955718,1115111.787483655,VIRTOUS,2023-08-31
Equities,ENPH,Enphase,,89.12,5547.844366514437,-18840.874962904963,494423.8899437666,VIRTOUS,2023-08-31
Equities,PHM,PulteGroup,,80.79,3357.2123207588297,-11.846661786636997,271229.1833941059,VIRTOUS,2023-08-31
Equities,MSCI,MSCI,,471.1,4408.228410033364,-75323.08957197134,2076716.4039667177,VIRTOUS,2023-08-31
Equities,GNRC,Generac,,114.65,5894.418457082636,16926.464290401975,675795.0761045243,VIRTOUS,2023-08-31
Equities,TFX,Teleflex,,220.07,9595.45381028366,21395.008004478757,2111671.520029125,VIRTOUS,2023-08-31
Equities,NVDA,Nvidia,,490.57,1344.2012240576034,-15.321682577431492,659424.7944859385,VIRTOUS,2023-08-31
Equities,SO,Southern Company,,68.53,3520.0348147980635,-891.8043590256796,241227.9858581113,VIRTOUS,2023-08-31
Equities,TDG,TransDigm Group,,870.11,7679.5392698815,1368.040656459474,6682043.914116592,VIRTOUS,2023-08-31
Equities,MCHP,Microchip Technology,,77.9,1707.077637539977,-2569.411944538652,132981.34796436422,VIRTOUS,2023-08-31
Equities,BALL,Ball Corporation,,54.18,8738.594635474026,2400.495494769008,473457.05734998273,VIRTOUS,2023-08-31
Equities,NI,NiSource,,26.7,6811.619919998283,-15.681031318258835,181870.25186395412,VIRTOUS,2023-08-31
Equities,AVB,AvalonBay Communities,,190.18,2312.593428849082,407.5192421295713,439809.0182985184,VIRTOUS,2023-08-31
Equities,MPC,Marathon Petroleum,,142.73,3739.3165244688,4576.301278761679,533712.6475374318,VIRTOUS,2023-08-31
Equities,FIS,FIS,,55.14,8874.163225925213,2220.6146304418094,489321.3602775162,VIRTOUS,2023-08-31
Equities,TEL,TE Connectivity,,123.43,1698.752066895476,-2492.014905958086,209676.9676169086,VIRTOUS,2023-08-31
Equities,CAT,Caterpillar Inc.,,268.85,9345.673527991092,2952.6409229705228,2512584.3280004053,VIRTOUS,2023-08-31
Government Bond,US912828WU04,TSY INFL IX N/B 0.125% 07/15/2024 ,US912828WU04,124.48,13018.06219475242,-692.7947934481307,1620488.3820027814,VIRTOUS,2023-08-31
Government Bond,ES0000012411,BONOS Y OBLIG DEL ESTADO 5.75% 07/30/2032,ES0000012411,153.57,15421.484438620546,-44.52582583099026,2368277.365238957,VIRTOUS,2023-08-31
Government Bond,IT0005024234,BUONI POLIENNALI DEL TES 3.5% 03/01/2030 144A,IT0005024234,120.59,21853.2915131474,-99.11998199003806,2635288.423570445,VIRTOUS,2023-08-31
Government Bond,GB00B3Y1JG82,UNITED KINGDOM I/L GILT 0.125% 03/22/2029 REGS,GB00B3Y1JG82,165.49,5882.403267496818,46.482696570114186,973478.9167380484,VIRTOUS,2023-08-31
Government Bond,GB00BGDYHF49,UNITED KINGDOM I/L GILT 0.125% 08/10/2041 REGS,GB00BGDYHF49,187.3,4346.863899332314,-9.560172237485856,814167.6083449424,VIRTOUS,2023-08-31
Government Bond,FR0013327491,FRANCE (GOVT OF) 0.1% 07/25/2036 0.0% 144A,FR0013327491,132.39,4397.1056504960425,14.951885259033311,582132.817069171,VIRTOUS,2023-08-31
Government Bond,ES00000127G9,BONOS Y OBLIG DEL ESTADO 2.2% 10/31/2025 144A,ES00000127G9,109.32,20962.810274458265,12.912339865644103,2291654.4192037773,VIRTOUS,2023-08-31
Government Bond,CA135087B949,CANADIAN GOVERNMENT RRB 1.3% 12/01/2047,CA135087B949,158.53,2999.3376233017816,160.54668580572837,475484.99342203146,VIRTOUS,2023-08-31
Government Bond,US912828B253,TSY INFL IX N/B 0.625% 01/15/2024,US912828B253,126.49,1751.1318386245784,-37.07033126120584,221500.66626762293,VIRTOUS,2023-08-31
Government Bond,DE0001030559,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,DE0001030559,135.99,6858.464583345945,-0.0,932682.5986892153,VIRTOUS,2023-08-31
Government Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,DE0001030567,121.48,4979.583923050329,35.724396418852635,604919.854972154,VIRTOUS,2023-08-31
Government Bond,IT0004545890,BUONI POLIENNALI DEL TES 2.6% 09/15/2041 144A,IT0004545890,185.0,6615.432786239331,3.913299489049462,1223855.0654542765,VIRTOUS,2023-08-31
Government Bond,AT0000A1K9C8,REPUBLIC OF AUSTRIA 0.75 % 10/20/2026 144A ,AT0000A1K9C8,105.41,16552.7122348756,-96.7209676440458,1744821.3966782368,VIRTOUS,2023-08-31
Government Bond,US912810PV44,TSY INFL IX N/B 1.75% 01/15/2028,US912810PV44,158.68,5212.691851727382,76.10906083356456,827149.9430321009,VIRTOUS,2023-08-31
Government Bond,GB00BN65R313,UNITED KINGDOM GILT 3.5% 01/22/2045 REGS,GB00BN65R313,146.61,10130.63576841025,9.250783473586738,1485252.5100066268,VIRTOUS,2023-08-31
Government Bond,CA135087K940,CANADIAN GOVERNMENT 0.5% 09/01/2025,CA135087K940,97.76,45863.97775054737,-84.01469177744887,4483662.464893511,VIRTOUS,2023-08-31
Government Bond,US912828Z377,TSY INFL IX N/B 0.125% 01/15/2030 ,US912828Z377,119.45,16380.598594270168,-47.80233453389903,1956662.502085572,VIRTOUS,2023-08-31
Government Bond,CND100047QT4,CHINA GOVERNMENT BOND 3.0% 05/27/2031,CND100047QT4,101.7,19242.706098595016,-114.33597501813765,1956983.2102271128,VIRTOUS,2023-08-31
CASH,USDCURR,CASH,,,,,3920065.691058021,VIRTOUS,2023-08-31
